combination,property,human_label_majority,gpt-4o_generated_
a bad selfie,popular,canceled,"['{""property_type"": ""emergent""}']"
the earlier computer,fast,canceled,"['{""property_type"": ""canceled""}']"
the expensive kind,friendly,canceled,"['{""property_type"": ""others""}']"
an engine out of repair,restorative,canceled,"['{""property_type"": ""canceled""}']"
a butt hole,curve,canceled,"['{""property_type"": ""component""}']"
a stab in the dark,deep,canceled,"['{""property_type"": ""canceled""}']"
the water extinguishing,solvent,canceled,"['{""property_type"": ""component""}']"
debt cancelation,obligatory,canceled,"['{""property_type"": ""canceled""}']"
a dog's breath,friendly,canceled,"['{""property_type"": ""others""}']"
a blown eggshell,forceful,canceled,"['{""property_type"": ""others""}']"
an orange beside the sun,dimple,canceled,"['{""property_type"": ""component""}']"
a gasping fish,fast,canceled,"['{""property_type"": ""canceled""}']"
pizza with no cheese,topped,canceled,"['{""property_type"": ""emergent""}']"
the foliage in winter,photosynthetic,canceled,"['{""property_type"": ""canceled""}']"
a loose floorboard,unconfine,canceled,"['{""property_type"": ""emergent""}']"
the nonexistent wind,airflow,canceled,"['{""property_type"": ""canceled""}']"
a rheumatic bandage,inflame,canceled,"['{""property_type"": ""others""}']"
a punch in the face,feature,canceled,"['{""property_type"": ""emergent""}']"
swelled head,cerebral,canceled,"['{""property_type"": ""component""}']"
a trussed fowl,wing,canceled,"['{""property_type"": ""component""}']"
a boiled dog,friendly,canceled,"['{""property_type"": ""canceled""}']"
a dying beast,fast,canceled,"['{""property_type"": ""canceled""}']"
a drag car,engine,canceled,"['{""property_type"": ""component""}']"
a Dreadnought in a millpond,menacing,canceled,"['{""property_type"": ""others""}']"
the world without the sun,bright,canceled,"['{""property_type"": ""canceled""}']"
bits of cardboard,binary,canceled,"['{""property_type"": ""canceled""}']"
hand axes,perpendicular,canceled,"['{""property_type"": ""component""}']"
a peanut hull,heavy,canceled,"['{""property_type"": ""canceled""}']"
a ship in the bottle,engine-powered or sail-driven,canceled,"['{""property_type"": ""component""}']"
a photocopy of a photocopy,detail,canceled,"['{""property_type"": ""canceled""}']"
a hunted animal,reproduce,canceled,"['{""property_type"": ""component""}']"
mere artificers,basic,canceled,"['{""property_type"": ""emergent""}']"
house flippers,permanent,canceled,"['{""property_type"": ""canceled""}']"
a natural timeout,untreated,canceled,"['{""property_type"": ""emergent""}']"
a kick to the stomach,digest,canceled,"['{""property_type"": ""canceled""}']"
a rheumatic bandage,painful,canceled,"['{""property_type"": ""canceled""}']"
the coursing river,educational,canceled,"['{""property_type"": ""others""}']"
the writer giving up,creative,canceled,"['{""property_type"": ""canceled""}']"
a weird epilogue,conclusive,canceled,"['{""property_type"": ""emergent""}']"
a toy breed,colorful,canceled,"['{""property_type"": ""others""}']"
a bolt from the blue,tight,canceled,"['{""property_type"": ""others""}']"
a damp firework,explosive,canceled,"['{""property_type"": ""canceled""}']"
beaten brass,steady,canceled,"['{""property_type"": ""component""}']"
repealing taxes,reliable,canceled,"['{""property_type"": ""others""}']"
a beaten dog,repetitive,canceled,"['{""property_type"": ""canceled""}']"
the people at the bus,spacious,canceled,"['{""property_type"": ""canceled""}']"
liquid cement,durable,canceled,"['{""property_type"": ""canceled""}']"
fish in a tin,alive,canceled,"['{""property_type"": ""canceled""}']"
a cod line,no thickness,canceled,"['{""property_type"": ""canceled""}']"
weekold beer,bubbly,canceled,"['{""property_type"": ""canceled""}']"
a child abashed,playful,canceled,"['{""property_type"": ""canceled""}']"
a static radio,broadcasting,canceled,"['{""property_type"": ""canceled""}']"
an unhinged jaw,masticatory,canceled,"['{""property_type"": ""component""}']"
polite smiles,natural,canceled,"['{""property_type"": ""canceled""}']"
a winding sheet,flow,canceled,"['{""property_type"": ""emergent""}']"
drying clay,malleable,canceled,"['{""property_type"": ""canceled""}']"
cold codfish,refresh,canceled,"['{""property_type"": ""others""}']"
the president's base,authoritative,canceled,"['{""property_type"": ""emergent""}']"
the broken bridge,structural,canceled,"['{""property_type"": ""component""}']"
motion without matter,physical,canceled,"['{""property_type"": ""canceled""}']"
a chicken without a head,cerebral,canceled,"['{""property_type"": ""canceled""}']"
tempting fate,predetermine,canceled,"['{""property_type"": ""canceled""}']"
flogged children,inquisitive,canceled,"['{""property_type"": ""canceled""}']"
jackals before the lion,fierce,canceled,"['{""property_type"": ""emergent""}']"
stained glass,clear,canceled,"['{""property_type"": ""canceled""}']"
second life,real,canceled,"['{""property_type"": ""canceled""}']"
an unwound clock,relax,canceled,"['{""property_type"": ""emergent""}']"
six feet of earth,spherical,canceled,"['{""property_type"": ""canceled""}']"
the back of a knife,cut,canceled,"['{""property_type"": ""canceled""}']"
a dogs urinal,faithful,canceled,"['{""property_type"": ""others""}']"
the hands of the dead,dexterous,canceled,"['{""property_type"": ""canceled""}']"
a chair without legs,comfortable,canceled,"['{""property_type"": ""canceled""}']"
ditch water,clear,canceled,"['{""property_type"": ""canceled""}']"
the curate's egg,organize,canceled,"['{""property_type"": ""others""}']"
a marriage without inclination,tilt,canceled,"['{""property_type"": ""canceled""}']"
a hundred flights of stairs,natural,canceled,"['{""property_type"": ""others""}']"
vice from virtue,ethical,canceled,"['{""property_type"": ""canceled""}']"
snow at midsummer,festive,canceled,"['{""property_type"": ""emergent""}']"
a steel spring,warm,canceled,"['{""property_type"": ""others""}']"
a deer in headlights,quick,canceled,"['{""property_type"": ""canceled""}']"
soggy hammers,hard,canceled,"['{""property_type"": ""component""}']"
a stone boat,float,canceled,"['{""property_type"": ""canceled""}']"
an English squire,write,canceled,"['{""property_type"": ""others""}']"
a rock at the moment,significant,canceled,"['{""property_type"": ""others""}']"
living rooms,active,canceled,"['{""property_type"": ""emergent""}']"
a lead cheese,edible,canceled,"['{""property_type"": ""canceled""}']"
a bridge to nowhere,connection,canceled,"['{""property_type"": ""canceled""}']"
a dictionary without words,important,canceled,"['{""property_type"": ""canceled""}']"
a face without a nose,human,canceled,"['{""property_type"": ""component""}']"
a stake through the heart,pump,canceled,"['{""property_type"": ""canceled""}']"
a tree coming down,living organism,canceled,"['{""property_type"": ""component""}']"
a fish on a hook,Swim,canceled,"['{""property_type"": ""canceled""}']"
walking advertisements,attention-grabbing,component,"['{""property_type"": ""emergent""}']"
a furnace glow,intense heat,component,"['{""property_type"": ""emergent""}']"
a missing puzzle,incomplete,component,"['{""property_type"": ""emergent""}']"
chinese cities,polluted,component,"['{""property_type"": ""emergent""}']"
the prow of night,dark,component,"['{""property_type"": ""emergent""}']"
a house brick,heavy,component,"['{""property_type"": ""component""}']"
nightmare stuff,scary,component,"['{""property_type"": ""emergent""}']"
dumb people,lacking intelligence,component,"['{""property_type"": ""component""}']"
a mouthful of pennies,metallic,component,"['{""property_type"": ""component""}']"
the bats beneath the eaves,nocturnal,component,"['{""property_type"": ""component""}']"
a sudden blow,unexpected,component,"['{""property_type"": ""emergent""}']"
an amused kid,entertained,component,"['{""property_type"": ""emergent""}']"
fifty bucks a year,cost,component,"['{""property_type"": ""emergent""}']"
a sharpie marker,long-lasting,component,"['{""property_type"": ""component""}']"
the first dream,original,component,"['{""property_type"": ""emergent""}']"
pizza supper,hot,component,"['{""property_type"": ""component""}']"
the central figures,importance,component,"['{""property_type"": ""emergent""}']"
rival empires,hostile,component,"['{""property_type"": ""emergent""}']"
enraged bulls,fierce,component,"['{""property_type"": ""component""}']"
vague lyrics,not specific,component,"['{""property_type"": ""component""}']"
the sides of the pinnacle,steep,component,"['{""property_type"": ""component""}']"
"a caricature, lol",exaggerated,component,"['{""property_type"": ""emergent""}']"
a sheet of paper,thin,component,"['{""property_type"": ""component""}']"
house roofs,slanted,component,"['{""property_type"": ""component""}']"
a sprinter out of the blocks,agile,component,"['{""property_type"": ""emergent""}']"
the irs guy,intimidating,component,"['{""property_type"": ""emergent""}']"
the noise disturbance,annoying,component,"['{""property_type"": ""emergent""}']"
yard ornaments,decorative,component,"['{""property_type"": ""emergent""}']"
a polished mirror,reflective,component,"['{""property_type"": ""component""}']"
soiled diapers,replaced,component,"['{""property_type"": ""emergent""}']"
a lark in the morning,melodious,component,"['{""property_type"": ""component""}']"
the debt overhang,burdensome,component,"['{""property_type"": ""emergent""}']"
life on shipboard,cramped,component,"['{""property_type"": ""emergent""}']"
a hastening waterfowl,quick,component,"['{""property_type"": ""emergent""}']"
the main manufacturers,controlling prices,component,"['{""property_type"": ""emergent""}']"
a victorious thing,successful,component,"['{""property_type"": ""emergent""}']"
a dog's face,expressive,component,"['{""property_type"": ""emergent""}']"
how a video character,virtual,component,"['{""property_type"": ""emergent""}']"
a monkey at a zoo,exhibited,component,"['{""property_type"": ""emergent""}']"
the mormons on a mission,devout,component,"['{""property_type"": ""component""}']"
a captioning contest,creative,component,"['{""property_type"": ""emergent""}']"
"bits of coral ,",fragile,component,"['{""property_type"": ""component""}']"
the memory of the kiss,sweet,component,"['{""property_type"": ""emergent""}']"
mortal women,need to eat,component,"['{""property_type"": ""component""}']"
"the old masters,",revered,component,"['{""property_type"": ""emergent""}']"
decent beer,drinkable,component,"['{""property_type"": ""component""}']"
a goddamn ghost,elusiveness,component,"['{""property_type"": ""emergent""}']"
the fiercest of cayenne,spicy,component,"['{""property_type"": ""component""}']"
the old dirt,weathered,component,"['{""property_type"": ""component""}']"
a loving parent,caring,component,"['{""property_type"": ""emergent""}']"
a gentle whisper,soft,component,"['{""property_type"": ""component""}']"
a buckwheat cake,gluten-free,component,"['{""property_type"": ""emergent""}']"
trivial questions,unimportant,component,"['{""property_type"": ""emergent""}']"
a flesh cape,draping,component,"['{""property_type"": ""emergent""}']"
the best lemonade,refreshing,component,"['{""property_type"": ""emergent""}']"
a busted hinge,broken,component,"['{""property_type"": ""emergent""}']"
a beginners class,introductory,component,"['{""property_type"": ""component""}']"
vaccination for smallpox,protective,component,"['{""property_type"": ""emergent""}']"
a reactor in meltdown,hot,component,"['{""property_type"": ""emergent""}']"
a shattered egg,fragile,component,"['{""property_type"": ""canceled""}']"
a slab of metal,heavy,component,"['{""property_type"": ""component""}']"
a creepy vibe,unsettling,component,"['{""property_type"": ""emergent""}']"
a church pillar,tall,component,"['{""property_type"": ""component""}']"
a lady's fan,decorative,component,"['{""property_type"": ""component""}']"
a dramatic exit,attention-grabbing,component,"['{""property_type"": ""emergent""}']"
a revving motor,loud,component,"['{""property_type"": ""emergent""}']"
hot primroses,pleasant scent,component,"['{""property_type"": ""component""}']"
incidental notices,additional,component,"['{""property_type"": ""emergent""}']"
a quarry floor,rough,component,"['{""property_type"": ""component""}']"
American imperialism,exploitative,component,"['{""property_type"": ""emergent""}']"
a drilled soldier,disciplined,component,"['{""property_type"": ""emergent""}']"
the next sun,rises in the east,component,"['{""property_type"": ""component""}']"
foam bats,not dangerous,component,"['{""property_type"": ""emergent""}']"
a kid 's fist,clenched,component,"['{""property_type"": ""component""}']"
a hunted creature,vulnerable,component,"['{""property_type"": ""emergent""}']"
mere gauze,soft,component,"['{""property_type"": ""component""}']"
premium chicken,high quality,component,"['{""property_type"": ""emergent""}']"
a car on the freeway,fast,component,"['{""property_type"": ""emergent""}']"
a drunken horse,lack of gracefulness,component,"['{""property_type"": ""emergent""}']"
the beginning of understanding,foundational,component,"['{""property_type"": ""emergent""}']"
a dive watch,high water resistance,component,"['{""property_type"": ""component""}']"
the dawning light,beautiful,component,"['{""property_type"": ""emergent""}']"
a harpoon's dart,detachable,component,"['{""property_type"": ""component""}']"
the stars in the heavens,distant,component,"['{""property_type"": ""component""}']"
the troop of brigands,threatening,component,"['{""property_type"": ""emergent""}']"
Indian cheese,similar to paneer,component,"['{""property_type"": ""component""}']"
the boss baby,bossy,component,"['{""property_type"": ""emergent""}']"
a meteor at the top,fast movement,component,"['{""property_type"": ""component""}']"
a battered doll,mistreated,component,"['{""property_type"": ""emergent""}']"
a skunk in heat,pungent odor,component,"['{""property_type"": ""emergent""}']"
circus seals,trained,component,"['{""property_type"": ""emergent""}']"
the white      soldiers,bravery,component,"['{""property_type"": ""others""}']"
a concrete wall,rigid,component,"['{""property_type"": ""component""}']"
a cedar bush,aromatic,component,"['{""property_type"": ""component""}']"
a shepherds stick,wooden,component,"['{""property_type"": ""component""}']"
a warm mattress,comfort,component,"['{""property_type"": ""emergent""}']"
a plain idiot,lacking intelligence,component,"['{""property_type"": ""component""}']"
cold honey,sticky,component,"['{""property_type"": ""component""}']"
the king 's palace,luxurious,component,"['{""property_type"": ""component""}']"
an ant 's ass,tiny,component,"['{""property_type"": ""component""}']"
an extra punishment,additional,component,"['{""property_type"": ""emergent""}']"
a ghost existing,unlikely,component,"['{""property_type"": ""emergent""}']"
a little lion,fearless,component,"['{""property_type"": ""component""}']"
a trained salesperson,persuasive,component,"['{""property_type"": ""component""}']"
experienced conspirators,skilled in plotting schemes,component,"['{""property_type"": ""emergent""}']"
a dropped cloak,fallen,component,"['{""property_type"": ""emergent""}']"
the course of an arrow,straight,component,"['{""property_type"": ""component""}']"
a ride at a carnival,thrilling,component,"['{""property_type"": ""emergent""}']"
a little sun,emitting light,component,"['{""property_type"": ""component""}']"
a philosophical movement,thought-provoking,component,"['{""property_type"": ""emergent""}']"
morning dew,refreshing,component,"['{""property_type"": ""emergent""}']"
lukewarm tea,unexciting,component,"['{""property_type"": ""emergent""}']"
a humorist and satirist,witty,component,"['{""property_type"": ""component""}']"
the enemy beasts,savagery,component,"['{""property_type"": ""component""}']"
a traditional mortgage,secured against the value of the property,component,"['{""property_type"": ""emergent""}']"
job burnout,exhausted,component,"['{""property_type"": ""emergent""}']"
a steam factory,polluting,component,"['{""property_type"": ""emergent""}']"
the video vignettes,short,component,"['{""property_type"": ""component""}']"
a blushing beet,red,component,"['{""property_type"": ""component""}']"
cold turtle,slow-moving,component,"['{""property_type"": ""component""}']"
total superbowls,number of wins,component,"['{""property_type"": ""emergent""}']"
baby butter,soft,component,"['{""property_type"": ""component""}']"
the shaft of a feather,lightweight,component,"['{""property_type"": ""component""}']"
an error in the system,a mistake,component,"['{""property_type"": ""emergent""}']"
the American voter,not very socialist,component,"['{""property_type"": ""emergent""}']"
the prow of a ship,protruding,component,"['{""property_type"": ""component""}']"
tigers in a jungle,ferocious,component,"['{""property_type"": ""component""}']"
an unruly mare,difficult to control,component,"['{""property_type"": ""emergent""}']"
a holiday postcard,picturesque,component,"['{""property_type"": ""component""}']"
the teeth in the picture,white,component,"['{""property_type"": ""component""}']"
the light of a firefly,fades quickly,component,"['{""property_type"": ""emergent""}']"
little movies,small-scale,component,"['{""property_type"": ""emergent""}']"
an image of a saint,revered,component,"['{""property_type"": ""others""}']"
a white screen,blank,component,"['{""property_type"": ""emergent""}']"
two charging bulls,ferocious,component,"['{""property_type"": ""emergent""}']"
the boundaries of the nation,defined,component,"['{""property_type"": ""emergent""}']"
the cold of winter,chilliness,component,"['{""property_type"": ""emergent""}']"
a maiden's dream,romantic,component,"['{""property_type"": ""emergent""}']"
the middle of winter,cold,component,"['{""property_type"": ""emergent""}']"
an act of charity,selfless,component,"['{""property_type"": ""emergent""}']"
a hog in armour,well-protected,component,"['{""property_type"": ""canceled""}']"
a brunette cat,dark-haired,component,"['{""property_type"": ""component""}']"
the grip on a handgun,textured,component,"['{""property_type"": ""component""}']"
a perfect symphony,harmonious,component,"['{""property_type"": ""emergent""}']"
a man in prison,restricted,component,"['{""property_type"": ""emergent""}']"
doors without problem,functioning properly,component,"['{""property_type"": ""emergent""}']"
the theatrical carpenter,experienced,component,"['{""property_type"": ""others""}']"
common folks,unsophisticated,component,"['{""property_type"": ""emergent""}']"
a doves coo,soothing,component,"['{""property_type"": ""emergent""}']"
a plastic taco,inauthentic,component,"['{""property_type"": ""emergent""}']"
a brute beast,lack of feeling,component,"['{""property_type"": ""emergent""}']"
the gas flame,red,component,"['{""property_type"": ""emergent""}']"
the sound of the moment,ephemeral,component,"['{""property_type"": ""emergent""}']"
the wind from the lake,refreshing,component,"['{""property_type"": ""emergent""}']"
the skins of leopards,spotted,component,"['{""property_type"": ""component""}']"
the mountaineer guides,leadership,component,"['{""property_type"": ""emergent""}']"
"a lesbian proposal,",intimate,component,"['{""property_type"": ""emergent""}']"
a million pounds of feathers,light,component,"['{""property_type"": ""emergent""}']"
the spilt wine,red,component,"['{""property_type"": ""component""}']"
a floating house,buoyant,component,"['{""property_type"": ""emergent""}']"
cactus growths,spiky,component,"['{""property_type"": ""component""}']"
a personal crusade,strong commitment,component,"['{""property_type"": ""emergent""}']"
"a tropical breeze,",refreshing,component,"['{""property_type"": ""emergent""}']"
baby 's breath,warm,component,"['{""property_type"": ""others""}']"
cold mutton,uninspiring,component,"['{""property_type"": ""emergent""}']"
clock work,regular,component,"['{""property_type"": ""emergent""}']"
English misery,sadness,component,"['{""property_type"": ""emergent""}']"
more spices,plentiful,component,"['{""property_type"": ""emergent""}']"
a natural morphine,pain-killing,component,"['{""property_type"": ""component""}']"
the lashing of the wind,strong,component,"['{""property_type"": ""emergent""}']"
a restaurant girl,works in a restaurant setting,component,"['{""property_type"": ""emergent""}']"
stars in a cartoon,twinkling,component,"['{""property_type"": ""emergent""}']"
the fresh manure,odoriferous,component,"['{""property_type"": ""component""}']"
a wet swab,moist,component,"['{""property_type"": ""emergent""}']"
chicken daddy,tastes like chicken,component,"['{""property_type"": ""component""}']"
a couple of rounds,few,component,"['{""property_type"": ""emergent""}']"
diet dew,low-calorie,component,"['{""property_type"": ""emergent""}']"
a duck's foot,webbed,component,"['{""property_type"": ""component""}']"
a romance book,idealized,component,"['{""property_type"": ""component""}']"
a marble image,rigid,component,"['{""property_type"": ""component""}']"
the lemon party,zesty,component,"['{""property_type"": ""others""}']"
a deleted email,recoverable,component,"['{""property_type"": ""canceled""}']"
a backwards knee,bent,component,"['{""property_type"": ""component""}']"
Amazing work,amazing,component,"['{""property_type"": ""component""}']"
one artist's work,unique,component,"['{""property_type"": ""emergent""}']"
the introduction except backwards,reverse order,component,"['{""property_type"": ""emergent""}']"
a big eclair,appetizing,component,"['{""property_type"": ""emergent""}']"
the construction of the building,carefully planned,component,"['{""property_type"": ""emergent""}']"
an arctic glacier,frigid,component,"['{""property_type"": ""component""}']"
an elephants foot,sturdy,component,"['{""property_type"": ""component""}']"
the truck textures,tactile,component,"['{""property_type"": ""component""}']"
cherry cola,tastes like cherry,component,"['{""property_type"": ""emergent""}']"
poplar leaves,green,component,"['{""property_type"": ""component""}']"
a cattle drover,skilled at herding animals,component,"['{""property_type"": ""emergent""}']"
an entire galaxy,vast,component,"['{""property_type"": ""emergent""}']"
an untreated wound,worsen if left unattended,component,"['{""property_type"": ""emergent""}']"
a midget arm,short,component,"['{""property_type"": ""component""}']"
a spectre in the distance,eerie,component,"['{""property_type"": ""emergent""}']"
a ventriloquist puppet,manipulated,component,"['{""property_type"": ""emergent""}']"
a wild bunny,furry,component,"['{""property_type"": ""component""}']"
a girl since gender,feminine,component,"['{""property_type"": ""component""}']"
seats on a bus,replaceable,component,"['{""property_type"": ""emergent""}']"
old lions,fierceness,component,"['{""property_type"": ""component""}']"
a fresh jalapeno,spicy,component,"['{""property_type"": ""component""}']"
a saint of humanity,kind,component,"['{""property_type"": ""emergent""}']"
a pile of marbles,disordered,component,"['{""property_type"": ""emergent""}']"
a blast of wind,swift,component,"['{""property_type"": ""emergent""}']"
a personal problem,private,component,"['{""property_type"": ""component""}']"
sandpaper against paper,abrasive,component,"['{""property_type"": ""component""}']"
a person with one head,single-headed,component,"['{""property_type"": ""component""}']"
evening airs,cool,component,"['{""property_type"": ""emergent""}']"
the exterior of the house,weathered,component,"['{""property_type"": ""emergent""}']"
the machinery of the party,organized,component,"['{""property_type"": ""emergent""}']"
the first expression,original,component,"['{""property_type"": ""emergent""}']"
an ordinary routine,boring,component,"['{""property_type"": ""emergent""}']"
a child 's breath,sweet,component,"['{""property_type"": ""emergent""}']"
the superman of rabbits,fast,component,"['{""property_type"": ""emergent""}']"
a scared sheep,timid,component,"['{""property_type"": ""component""}']"
rich cream,thick,component,"['{""property_type"": ""component""}']"
a newborn filly,easily frightened,component,"['{""property_type"": ""emergent""}']"
mere glass,fragile,component,"['{""property_type"": ""component""}']"
an infant's palm,soft,component,"['{""property_type"": ""component""}']"
tiny burns,painful,component,"['{""property_type"": ""emergent""}']"
a genuine lion,ferocious,component,"['{""property_type"": ""component""}']"
huge spiders '',large,component,"['{""property_type"": ""component""}']"
a young fir,green,component,"['{""property_type"": ""component""}']"
a pumping heart,throbbing,component,"['{""property_type"": ""emergent""}']"
an empty cask,devoid of moisture,component,"['{""property_type"": ""emergent""}']"
a person in a trance,unaware,component,"['{""property_type"": ""emergent""}']"
a little bump,minor,component,"['{""property_type"": ""component""}']"
denim pants,blue,component,"['{""property_type"": ""component""}']"
the orchard outside,lush,component,"['{""property_type"": ""emergent""}']"
"the history of antisemitism,",troubling,component,"['{""property_type"": ""emergent""}']"
the kissing part,enjoyable,component,"['{""property_type"": ""emergent""}']"
a sum in arithmetic,calculated,component,"['{""property_type"": ""emergent""}']"
a barnacle on a keel,firmly attached,component,"['{""property_type"": ""emergent""}']"
longer legs,better suited for walking long distances quickly,component,"['{""property_type"": ""emergent""}']"
"grandsons to dear,",cherished,component,"['{""property_type"": ""emergent""}']"
an eagle 's talon,claw-like,component,"['{""property_type"": ""component""}']"
a rippled bodybuilder,muscular,component,"['{""property_type"": ""component""}']"
a large rowboat,spacious,component,"['{""property_type"": ""emergent""}']"
a weaver's shuttle,quick movements,component,"['{""property_type"": ""emergent""}']"
bricks and stones,inanimate,component,"['{""property_type"": ""component""}']"
streams of fire,scorching,component,"['{""property_type"": ""emergent""}']"
obese dolphins,slow-moving,component,"['{""property_type"": ""emergent""}']"
a frozen corpse,cold,component,"['{""property_type"": ""emergent""}']"
an unoccupied room,emptiness,component,"['{""property_type"": ""emergent""}']"
polished stone,smooth,component,"['{""property_type"": ""emergent""}']"
the onset of rain,sudden,component,"['{""property_type"": ""emergent""}']"
glowing maws,emitting light,component,"['{""property_type"": ""emergent""}']"
the rain in the air,unsteady,others,"['{""property_type"": ""emergent""}']"
a child abashed,wing,others,"['{""property_type"": ""others""}']"
a spent runner,offensive,others,"['{""property_type"": ""others""}']"
a villager under ice,fly,others,"['{""property_type"": ""canceled""}']"
a fire cracker,empty,others,"['{""property_type"": ""canceled""}']"
a trained salesperson,tough,others,"['{""property_type"": ""emergent""}']"
scorpions in a bottle,sting,others,"['{""property_type"": ""component""}']"
a kid 's fist,connection,others,"['{""property_type"": ""emergent""}']"
a cat in a bag,devout,others,"['{""property_type"": ""others""}']"
wax work,transports nutrients and oxygen,others,"['{""property_type"": ""others""}']"
a trout in a saucer,repetitive,others,"['{""property_type"": ""others""}']"
a ball down the hill,unexpected,others,"['{""property_type"": ""emergent""}']"
old lions,undesirable,others,"['{""property_type"": ""emergent""}']"
statue of limitations,soft,others,"['{""property_type"": ""others""}']"
a distant bell,expressive,others,"['{""property_type"": ""emergent""}']"
half the egg roll,heavy,others,"['{""property_type"": ""canceled""}']"
an eagle 's talon,firmly attached,others,"['{""property_type"": ""component""}']"
a man down rapids,slow,others,"['{""property_type"": ""canceled""}']"
an exchange of amenities,dissimilar,others,"['{""property_type"": ""emergent""}']"
an animal snapping,universal,others,"['{""property_type"": ""others""}']"
a broken foot,grating,others,"['{""property_type"": ""emergent""}']"
doors without problem,low-calorie,others,"['{""property_type"": ""others""}']"
living rooms,not dangerous,others,"['{""property_type"": ""emergent""}']"
a jack out of a box,divisible,others,"['{""property_type"": ""component""}']"
bacon and vodka,importance,others,"['{""property_type"": ""others""}']"
a white crow,deep,others,"['{""property_type"": ""others""}']"
poplar leaves,engine-powered or sail-driven,others,"['{""property_type"": ""others""}']"
a polite cough,not very socialist,others,"['{""property_type"": ""others""}']"
the awful possibility,well,others,"['{""property_type"": ""others""}']"
decent beer,hard-working,others,"['{""property_type"": ""others""}']"
beaten brass,stressful,others,"['{""property_type"": ""others""}']"
the first expression,temporary,others,"['{""property_type"": ""emergent""}']"
the waiters whatever quinn was up to,exhausted,others,"['{""property_type"": ""others""}']"
the mountains of the moon,restorative,others,"['{""property_type"": ""others""}']"
a collector's item,no thickness,others,"['{""property_type"": ""others""}']"
a used glove,group,others,"['{""property_type"": ""others""}']"
soggy hammers,offensive,others,"['{""property_type"": ""others""}']"
an engine out of repair,inferior,others,"['{""property_type"": ""emergent""}']"
consumption of the lungs,loyal,others,"['{""property_type"": ""others""}']"
a bear with honey,bright,others,"['{""property_type"": ""others""}']"
a snake in a tube,futile,others,"['{""property_type"": ""emergent""}']"
the velocity of sound,spicy,others,"['{""property_type"": ""others""}']"
an engine out of repair,creative,others,"['{""property_type"": ""others""}']"
an eagle 's talon,dexterous,others,"['{""property_type"": ""emergent""}']"
baby butter,fades quickly,others,"['{""property_type"": ""emergent""}']"
a bucket of piss,hollow,others,"['{""property_type"": ""component""}']"
repealing taxes,unaware,others,"['{""property_type"": ""others""}']"
a spent runner,cramped,others,"['{""property_type"": ""emergent""}']"
flogged children,unstructured,others,"['{""property_type"": ""canceled""}']"
a steel spring,alive,others,"['{""property_type"": ""others""}']"
ones parents,agile,others,"['{""property_type"": ""others""}']"
the odour of fish,spicy,others,"['{""property_type"": ""others""}']"
the old days,gape,others,"['{""property_type"": ""others""}']"
a lark in the morning,fragile,others,"['{""property_type"": ""others""}']"
a china cup,living organism,others,"['{""property_type"": ""others""}']"
a natural morphine,gluten-free,others,"['{""property_type"": ""others""}']"
a warm mattress,quiet,others,"['{""property_type"": ""component""}']"
the stained glass,dissonant,others,"['{""property_type"": ""emergent""}']"
a rheumatic bandage,draw,others,"['{""property_type"": ""others""}']"
ill preparation,wing,others,"['{""property_type"": ""others""}']"
southerners in the snow,unstoppable,others,"['{""property_type"": ""emergent""}']"
a sheet of paper,shelter,others,"['{""property_type"": ""canceled""}']"
a drilled soldier,conceite,others,"['{""property_type"": ""others""}']"
a steamer without coal,well,others,"['{""property_type"": ""canceled""}']"
ill preparation,not real,others,"['{""property_type"": ""others""}']"
vague lyrics,forceful,others,"['{""property_type"": ""canceled""}']"
a little bump,useless,others,"['{""property_type"": ""emergent""}']"
a man possessed,sadness,others,"['{""property_type"": ""emergent""}']"
a spectre in the distance,brittle,others,"['{""property_type"": ""others""}']"
a stone from a catapult,functioning properly,others,"['{""property_type"": ""emergent""}']"
the pot of gold,edible,others,"['{""property_type"": ""others""}']"
water down a drain,narrow,others,"['{""property_type"": ""canceled""}']"
job burnout,fallen,others,"['{""property_type"": ""canceled""}']"
a vampire movie,timid,others,"['{""property_type"": ""others""}']"
the middle of winter,non,others,"['{""property_type"": ""others""}']"
a stuffed turkey,impractical,others,"['{""property_type"": ""emergent""}']"
the sound of the moment,persuasive,others,"['{""property_type"": ""emergent""}']"
a wooden woman,soft,others,"['{""property_type"": ""canceled""}']"
mere artificers,uninspire,others,"['{""property_type"": ""emergent""}']"
an orange beside the sun,ceramic,others,"['{""property_type"": ""others""}']"
a bat out of a sunrise,sacrificial,others,"['{""property_type"": ""others""}']"
puppies and wolves,strong,others,"['{""property_type"": ""emergent""}']"
a spent runner,soft,others,"['{""property_type"": ""canceled""}']"
an honest politician,regular,others,"['{""property_type"": ""canceled""}']"
a voice from the grave,impractical,others,"['{""property_type"": ""emergent""}']"
a voice from the grave,frantic,others,"['{""property_type"": ""emergent""}']"
voices of a stream,unreliable,others,"['{""property_type"": ""emergent""}']"
doors without problem,minor,others,"['{""property_type"": ""canceled""}']"
a box of frogs,empty,others,"['{""property_type"": ""canceled""}']"
cold honey,pain-killing,others,"['{""property_type"": ""others""}']"
night from day,colorful,others,"['{""property_type"": ""canceled""}']"
a doves coo,better suited for walking long distances quickly,others,"['{""property_type"": ""others""}']"
a restaurant girl,obsolete,others,"['{""property_type"": ""others""}']"
a cod line,struggle,others,"['{""property_type"": ""emergent""}']"
a conflict of interest,unimportant,others,"['{""property_type"": ""canceled""}']"
