sentence,combination,root,modifier,property,human_label_majority,meta.human_labels,meta.combination_human_relevance,meta.root_human_relevance,meta.modifier_human_relevance,meta.gpt-4o_emergence,meta.combination_gpt-4o_relevance,meta.root_gpt-4o_relevance,meta.modifier_gpt-4o_relevance,meta.toxicity,meta.gpt-4o_indiv_max,C,C_T,gpt-4o_sa-conceptnet_0_generated_,gpt-4o_sa-conceptnet_1_generated_,gpt-4o_sa-conceptnet_2_generated_,gpt-4o_sa-conceptnet_0_generated,gpt-4o_sa-conceptnet_0_property,gpt-4o_sa-conceptnet_0_combination_relevance,gpt-4o_sa-conceptnet_0_root_relevance,gpt-4o_sa-conceptnet_0_modifier_relevance,gpt-4o_sa-conceptnet_0_indiv_max,gpt-4o_sa-conceptnet_0_emergence,gpt-4o_sa-conceptnet_1_generated,gpt-4o_sa-conceptnet_1_property,gpt-4o_sa-conceptnet_1_combination_relevance,gpt-4o_sa-conceptnet_1_root_relevance,gpt-4o_sa-conceptnet_1_modifier_relevance,gpt-4o_sa-conceptnet_1_indiv_max,gpt-4o_sa-conceptnet_1_emergence,gpt-4o_sa-conceptnet_2_generated,gpt-4o_sa-conceptnet_2_property,gpt-4o_sa-conceptnet_2_combination_relevance,gpt-4o_sa-conceptnet_2_root_relevance,gpt-4o_sa-conceptnet_2_modifier_relevance,gpt-4o_sa-conceptnet_2_indiv_max,gpt-4o_sa-conceptnet_2_emergence
"The tops of the boxes also seemed alive, for they rose and fell regularly like the breast of a sleeper.",the breast of a sleeper,breast,sleeper,rhythmic movement,emergent,"(emergent, emergent, emergent)","(5, 4, 4)","(3, 1, 3)","(4, 1, 4)",0.7777777777777777,0.8888888888888888,0.0,0.1111111111111111,True,0.1111111111111111,"{0: ['breast', 'sleeper'], 1: ['breast', 'sleeper'], 2: ['breast', 'sleeper'], 3: ['breast', 'sleeper'], 4: ['breast', 'sleeper'], 5: ['breast', 'sleeper']}",[],"['{""property"": ""vulnerability""}']","['{""property"": ""peaceful""}']","['{""property"": ""vulnerability""}']",{'property': 'vulnerability'},vulnerability,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.0,{'property': 'peaceful'},peaceful,0.8888888888888888,0.3333333333333333,0.7777777777777778,0.7777777777777778,0.11111111111111105,{'property': 'vulnerability'},vulnerability,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.0
"Now, we know that from the very beginning the President knew that this was a lethal virus, at least five times as lethal as the worst flu.",the worst flu,flu,bad,lethal,emergent,"(emergent, emergent, emergent)","(5, 4, 4)","(4, 1, 2)","(2, 1, 2)",0.2222222222222222,0.5555555555555556,0.3333333333333333,0.1111111111111111,False,0.3333333333333333,"{0: ['flu', 'bad'], 1: ['catarrh', 'flu'], 2: ['catarrh', 'flu'], 3: ['catarrh', 'flu'], 4: ['catarrh', 'flu'], 5: ['catarrh', 'flu']}",['catarrh'],"['{""property"": ""debilitating""}']","['{""property"": ""debilitating""}']","['{""property"": ""debilitating""}']",{'property': 'debilitating'},debilitating,0.8888888888888888,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.2222222222222222,{'property': 'debilitating'},debilitating,0.8888888888888888,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.2222222222222222,{'property': 'debilitating'},debilitating,0.8888888888888888,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.2222222222222222
"A teacher without a school, or outside a school, seems to them rather like a gunner without a gun.",a gunner without a gun,gunner,gun,ineffective,emergent,"(emergent, component, emergent)","(5, 5, 5)","(4, 5, 4)","(2, 5, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.1111111111111111,False,0.3333333333333333,"{0: ['gunner', 'gun'], 1: ['gunner', 'gun'], 2: ['gunner', 'gun'], 3: ['gunner', 'gun'], 4: ['gunner', 'gun'], 5: ['gunner', 'gun']}",[],"['{""property"": ""vulnerable""}']","['{""property"": ""vulnerable""}']","['{""property"": ""ineffective""}']",{'property': 'vulnerable'},vulnerable,0.7777777777777778,0.3333333333333333,0.0,0.3333333333333333,0.4444444444444445,{'property': 'vulnerable'},vulnerable,0.7777777777777778,0.2222222222222222,0.0,0.2222222222222222,0.5555555555555556,{'property': 'ineffective'},ineffective,0.8888888888888888,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.5555555555555556
Nothin' means lovin' like a baby in the oven!,a baby in the oven,baby,oven,unthinkable,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(1, 4, 5)","(1, 3, 4)",0.6666666666666667,1.0,0.3333333333333333,0.0,True,0.3333333333333333,"{0: ['baby', 'oven'], 1: ['oven'], 2: ['oven'], 3: ['oven'], 4: ['oven'], 5: ['oven']}",[],"['{""property"": ""alarming""}']","['{""property"": ""dangerous""}']","['{""property"": ""danger""}']",{'property': 'alarming'},alarming,1.0,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.7777777777777778,{'property': 'dangerous'},dangerous,1.0,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.6666666666666667,{'property': 'danger'},danger,1.0,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.4444444444444444
"And we know that even just as recently as a couple of days ago, Sarah Huckabee Sanders said well, we know what would happen if he fires Mueller.",a couple of days,couple,day,recent,emergent,"(emergent, emergent, emergent)","(5, 5, 4)","(2, 2, 4)","(4, 4, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"{0: ['couple', 'day'], 1: ['day', 'couple'], 2: ['day', 'couple'], 3: ['day', 'couple'], 4: ['day', 'couple'], 5: ['day', 'couple']}",[],"['{""property"": ""temporary""}']","['{""property"": ""imminency""}']","['{""property"": ""temporary""}']",{'property': 'temporary'},temporary,0.8888888888888888,0.3333333333333333,1.0,1.0,0.0,{'property': 'imminency'},imminency,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,{'property': 'temporary'},temporary,0.8888888888888888,0.3333333333333333,1.0,1.0,0.0
"row after row of blackandwhite halftimbered buildings lined the cobbled lanes , pressed tight like books on a shelf . ",books on a shelf,book,shelf,closely packed,emergent,"(emergent, emergent, component)","(5, 5, 5)","(2, 2, 2)","(3, 3, 3)",0.3333333333333332,0.8888888888888888,0.3333333333333333,0.5555555555555556,False,0.5555555555555556,"{0: ['book', 'shelf'], 1: ['book', 'shelf'], 2: ['book', 'shelf'], 3: ['book', 'shelf'], 4: ['book', 'shelf'], 5: ['book', 'shelf']}",[],"['{""property"": ""organized""}']","['{""property"": ""organized""}']","['{""property"": ""organized""}']",{'property': 'organized'},organized,0.8888888888888888,0.7777777777777778,0.5555555555555556,0.7777777777777778,0.11111111111111105,{'property': 'organized'},organized,0.8888888888888888,0.7777777777777778,0.5555555555555556,0.7777777777777778,0.11111111111111105,{'property': 'organized'},organized,0.8888888888888888,0.7777777777777778,0.5555555555555556,0.7777777777777778,0.11111111111111105
You're as useless as a knitted condom.,a knitted condom,condom,knitted,not effective,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(1, 2, 2)","(1, 5, 5)",0.6666666666666667,1.0,0.1111111111111111,0.3333333333333333,False,0.3333333333333333,"{0: ['condom', 'knitted'], 1: ['condom', 'preventing pregnancy', 'sex'], 2: ['condom', 'preventing pregnancy', 'sex'], 3: ['condom', 'preventing pregnancy', 'sex'], 4: ['condom', 'preventing pregnancy', 'sex'], 5: ['condom', 'preventing pregnancy', 'sex']}","['preventing pregnancy', 'sex']","['{""property"": ""ineffective""}']","['{""property"": ""ineffective""}']","['{""property"": ""ineffective""}']",{'property': 'ineffective'},ineffective,1.0,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.6666666666666667,{'property': 'ineffective'},ineffective,1.0,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.7777777777777778,{'property': 'ineffective'},ineffective,1.0,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.6666666666666667
Makes your face as clear as a doctored photo!,a doctored photo,photo,doctor,fake,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(1, 2, 3)","(1, 3, 4)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.0,False,0.3333333333333333,"{0: ['photo', 'doctor'], 1: ['photo', 'doctor'], 2: ['photo', 'doctor'], 3: ['photo', 'doctor'], 4: ['photo', 'doctor'], 5: ['photo', 'doctor']}",[],"['{""property"": ""misleading""}']","['{""property"": ""misleading""}']","['{""property"": ""deceptive""}']",{'property': 'misleading'},misleading,0.8888888888888888,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.5555555555555556,{'property': 'misleading'},misleading,0.8888888888888888,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.5555555555555556,{'property': 'deceptive'},deceptive,0.8888888888888888,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.5555555555555556
"My word, they must be as stupid as pans without handles to call you a lunatic  A lunatic!",pans without handles,pan,handle,impractical,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 2, 2)","(4, 4, 4)",0.7777777777777777,0.8888888888888888,0.1111111111111111,0.1111111111111111,False,0.1111111111111111,"{0: ['pan', 'handle'], 1: ['frying', 'cooking'], 2: ['frying', 'cooking'], 3: ['frying', 'cooking'], 4: ['frying', 'cooking'], 5: ['frying', 'cooking']}","['cooking', 'frying']","['{""property"": ""impractical""}']","['{""property"": ""impractical""}']","['{""property"": ""unmanageable""}']",{'property': 'impractical'},impractical,0.8888888888888888,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.7777777777777777,{'property': 'impractical'},impractical,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.6666666666666667,{'property': 'unmanageable'},unmanageable,0.7777777777777778,0.0,0.0,0.0,0.7777777777777778
"Fred's love for hershe felt sure he had loved herwas only hidden away like the flowers under the snow, to bloom forth again in spring.",the flowers under the snow,flower,snow,hide,emergent,"(emergent, emergent, emergent)","(5, 5, 4)","(2, 2, 1)","(4, 4, 1)",0.4444444444444445,0.7777777777777778,0.0,0.3333333333333333,False,0.3333333333333333,"{0: ['flower', 'snow'], 1: ['flower', 'snow', 'hibiscus', 'iris'], 2: ['flower', 'snow', 'hibiscus', 'iris'], 3: ['flower', 'snow', 'hibiscus', 'iris'], 4: ['flower', 'snow', 'hibiscus', 'iris'], 5: ['flower', 'snow', 'hibiscus', 'iris']}","['hibiscus', 'iris']","['{""property"": ""hidden beauty""}']","['{""property"": ""resilience""}']","['{""property"": ""resilience""}']",{'property': 'hidden beauty'},hidden beauty,0.7777777777777778,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.2222222222222222,{'property': 'resilience'},resilience,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4444444444444445,{'property': 'resilience'},resilience,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4444444444444445
"Oh, a man with an open mind is just as disagreeable as a man without prejudices.",a man without prejudices,man,prejudice,non,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 1)","(4, 3, 4)",1.0,1.0,0.0,0.0,False,0.0,"{0: ['man', 'prejudice'], 1: ['man', 'prejudice'], 2: ['man', 'prejudice'], 3: ['man', 'prejudice'], 4: ['man', 'prejudice'], 5: ['man', 'prejudice']}",[],"['{""property"": ""open-minded""}']","['{""property"": ""open-mindedness""}']","['{""property"": ""open-mindedness""}']",{'property': 'open-minded'},open-minded,0.8888888888888888,0.3333333333333333,0.0,0.3333333333333333,0.5555555555555556,{'property': 'open-mindedness'},open-mindedness,0.8888888888888888,0.3333333333333333,0.0,0.3333333333333333,0.5555555555555556,{'property': 'open-mindedness'},open-mindedness,0.8888888888888888,0.3333333333333333,0.0,0.3333333333333333,0.5555555555555556
"53 I have given up on my aim, now like a good girl, i sit to pee.",a good girl,girl,good,well,emergent,"(emergent, component, emergent)","(5, 4, 5)","(2, 2, 2)","(4, 4, 5)",0.111111111111111,0.6666666666666666,0.3333333333333333,0.5555555555555556,False,0.5555555555555556,"{0: ['girl', 'good'], 1: ['daughter', 'female'], 2: ['daughter', 'female'], 3: ['daughter', 'female'], 4: ['daughter', 'female'], 5: ['daughter', 'female']}","['daughter', 'female']","['{""property"": ""trusted""}']","['{""property"": ""trustworthy""}']","['{""property"": ""trustworthy""}']",{'property': 'trusted'},trusted,0.7777777777777778,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.2222222222222222,{'property': 'trustworthy'},trustworthy,0.7777777777777778,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.2222222222222222,{'property': 'trustworthy'},trustworthy,0.7777777777777778,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.2222222222222222
Now these conclusions struck me abrupt like a bat in the eye when I sat down to rest in camp at Echo Spring.,a bat in the eye,bat,eye,sudden,emergent,"(emergent, emergent, emergent)","(4, 5, 5)","(1, 3, 3)","(1, 2, 2)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.0,False,0.3333333333333333,"{0: ['bat', 'eye'], 1: ['animal', 'bat'], 2: ['animal', 'bat'], 3: ['animal', 'bat'], 4: ['animal', 'bat'], 5: ['animal', 'bat']}",['animal'],"['{""property"": ""startling""}']","['{""property"": ""startling""}']","['{""property"": ""startling""}']",{'property': 'startling'},startling,0.7777777777777778,0.5555555555555556,0.1111111111111111,0.5555555555555556,0.2222222222222222,{'property': 'startling'},startling,0.8888888888888888,0.5555555555555556,0.1111111111111111,0.5555555555555556,0.33333333333333326,{'property': 'startling'},startling,0.7777777777777778,0.5555555555555556,0.1111111111111111,0.5555555555555556,0.2222222222222222
The journey was successfully made and the coming of Boone was to his wife almost like the return of one from the dead.,the return of one from the dead,return,dead,miraculous,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 3, 3)","(4, 2, 4)",0.6666666666666667,1.0,0.3333333333333333,0.0,False,0.3333333333333333,"{0: ['return', 'dead'], 1: ['return', 'come back'], 2: ['return', 'come back'], 3: ['return', 'come back'], 4: ['return', 'come back'], 5: ['return', 'come back']}",['come back'],"['{""property"": ""miraculous""}']","['{""property"": ""miraculous""}']","['{""property"": ""miraculous""}']",{'property': 'miraculous'},miraculous,1.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666667,{'property': 'miraculous'},miraculous,1.0,0.2222222222222222,0.0,0.2222222222222222,0.7777777777777778,{'property': 'miraculous'},miraculous,1.0,0.2222222222222222,0.0,0.2222222222222222,0.7777777777777778
The Creature's milky white eye slid open like a small bulb.,a small bulb,bulb,small,dim,emergent,"(emergent, component, emergent)","(4, 5, 4)","(3, 4, 3)","(4, 4, 2)",0.2222222222222222,0.5555555555555556,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"{0: ['bulb', 'small'], 1: ['bulb'], 2: ['bulb'], 3: ['bulb'], 4: ['bulb'], 5: ['bulb']}",[],"['{""property"": ""intimacy""}']","['{""property"": ""intimacy""}']","['{""property"": ""cozy""}']",{'property': 'intimacy'},intimacy,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,{'property': 'intimacy'},intimacy,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,{'property': 'cozy'},cozy,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.0
"In effect, the reason I came out is it was like kind of like a slap on the wrist.",a slap on the wrist,slap,wrist,lenient,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(1, 2, 1)","(1, 1, 1)",0.7777777777777777,0.8888888888888888,0.1111111111111111,0.0,False,0.1111111111111111,"{0: ['slap', 'wrist'], 1: ['wrist', 'hand'], 2: ['wrist', 'hand'], 3: ['wrist', 'hand'], 4: ['wrist', 'hand'], 5: ['wrist', 'hand']}",['hand'],"['{""property"": ""leniency""}']","['{""property"": ""leniency""}']","['{""property"": ""leniency""}']",{'property': 'leniency'},leniency,0.8888888888888888,0.2222222222222222,0.0,0.2222222222222222,0.6666666666666666,{'property': 'leniency'},leniency,0.8888888888888888,0.2222222222222222,0.0,0.2222222222222222,0.6666666666666666,{'property': 'leniency'},leniency,0.8888888888888888,0.1111111111111111,0.0,0.1111111111111111,0.7777777777777777
Babies with teeth are almost as scary as birds with arms...,birds with arms,bird,arm,unexpected,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 2)","(1, 2, 3)",0.6666666666666667,1.0,0.3333333333333333,0.1111111111111111,False,0.3333333333333333,"{0: ['bird', 'arm'], 1: ['animal', 'chicken'], 2: ['animal', 'chicken'], 3: ['animal', 'chicken'], 4: ['animal', 'chicken'], 5: ['animal', 'chicken']}","['animal', 'chicken']","['{""property"": ""anthropomorphic""}']","['{""property"": ""unsettling""}']","['{""property"": ""mythical""}']",{'property': 'anthropomorphic'},anthropomorphic,0.7777777777777778,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.2222222222222222,{'property': 'unsettling'},unsettling,0.7777777777777778,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.5555555555555556,{'property': 'mythical'},mythical,1.0,0.0,0.0,0.0,1.0
"Now, I'm not saying that Manard wasn't as dead as a dried herring.",a dried herring,herring,dry,dead,emergent,"(emergent, emergent, component)","(4, 4, 5)","(1, 3, 2)","(1, 2, 2)",0.6666666666666667,1.0,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"{0: ['herring', 'dry'], 1: ['desert', 'dry', 'herring'], 2: ['desert', 'dry', 'herring'], 3: ['desert', 'dry', 'herring'], 4: ['desert', 'dry', 'herring'], 5: ['desert', 'dry', 'herring']}",['desert'],"['{""property"": ""preserved""}']","['{""property"": ""preserved""}']","['{""property"": ""preserved""}']",{'property': 'preserved'},preserved,1.0,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.4444444444444444,{'property': 'preserved'},preserved,1.0,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.4444444444444444,{'property': 'preserved'},preserved,1.0,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.4444444444444444
"The elderly are as oblivious as distracted drivers, but will be given favorable treatment getting warning instead of ticket by cops because they've paid their dues to society",distracted drivers,driver,distract,unsafe,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 4, 5)","(5, 4, 5)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"{0: ['driver', 'distract'], 1: ['distract', 'driver'], 2: ['distract', 'driver'], 3: ['distract', 'driver'], 4: ['distract', 'driver'], 5: ['distract', 'driver']}",[],"['{""property"": ""hazardous""}']","['{""property"": ""hazardous""}']","['{""property"": ""danger""}']",{'property': 'hazardous'},hazardous,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5555555555555556,{'property': 'hazardous'},hazardous,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5555555555555556,{'property': 'danger'},danger,0.8888888888888888,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.33333333333333326
"Now considering Earth exists I doubt life is as unlikely as a cube planet, but you get my point. ",a cube planet,planet,cube,improbable,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 1, 2)","(4, 1, 4)",1.0,1.0,0.0,0.0,False,0.0,"{0: ['planet', 'cube'], 1: ['planet', 'cube'], 2: ['planet', 'cube'], 3: ['planet', 'cube'], 4: ['planet', 'cube'], 5: ['planet', 'cube']}",[],"['{""property"": ""geometric gravity""}']","['{""property"": ""unexpected""}']","['{""property"": ""impossible""}']",{'property': 'geometric gravity'},geometric gravity,0.0,0.8888888888888888,0.3333333333333333,0.8888888888888888,0.0,{'property': 'unexpected'},unexpected,0.8888888888888888,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.7777777777777777,{'property': 'impossible'},impossible,0.8888888888888888,0.0,0.0,0.0,0.8888888888888888
"stopping was about as appealing as a bat to the kneecaps , but i did it .",a bat to the kneecaps,bat,kneecap,painful,emergent,"(emergent, component, emergent)","(5, 5, 5)","(4, 4, 3)","(4, 5, 4)",0.6666666666666667,1.0,0.2222222222222222,0.3333333333333333,False,0.3333333333333333,"{0: ['bat', 'kneecap'], 1: ['baseball', 'animal', 'flying', 'kneecap'], 2: ['baseball', 'animal', 'flying', 'kneecap'], 3: ['baseball', 'animal', 'flying', 'kneecap'], 4: ['baseball', 'animal', 'flying', 'kneecap'], 5: ['baseball', 'animal', 'flying', 'kneecap']}","['animal', 'baseball', 'flying']","['{""property"": ""incapacitating""}']","['{""property"": ""incapacitating""}']","['{""property"": ""incapacitating""}']",{'property': 'incapacitating'},incapacitating,0.8888888888888888,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.5555555555555556,{'property': 'incapacitating'},incapacitating,0.8888888888888888,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.5555555555555556,{'property': 'incapacitating'},incapacitating,0.8888888888888888,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.5555555555555556
Yes it means new recruits but it also means that we're about as useful as a steak to a vegan.,a steak to a vegan,steak,vegan,unwanted,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 2, 1)","(5, 5, 1)",0.7777777777777777,0.8888888888888888,0.1111111111111111,0.1111111111111111,False,0.1111111111111111,"{0: ['steak', 'vegan'], 1: ['one cut of meat', 'vegan'], 2: ['one cut of meat', 'vegan'], 3: ['one cut of meat', 'vegan'], 4: ['one cut of meat', 'vegan'], 5: ['one cut of meat', 'vegan']}",['one cut of meat'],"['{""property"": ""offensive""}']","['{""property"": ""controversial""}']","['{""property"": ""controversial""}']",{'property': 'offensive'},offensive,0.7777777777777778,0.0,0.1111111111111111,0.1111111111111111,0.6666666666666667,{'property': 'controversial'},controversial,0.8888888888888888,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.33333333333333326,{'property': 'controversial'},controversial,0.8888888888888888,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.33333333333333326
This is as subtle as a brick to the head is nonviolent.,a brick to the head,brick,head,forceful,emergent,"(emergent, component, emergent)","(5, 5, 4)","(4, 4, 1)","(2, 2, 1)",0.6666666666666667,1.0,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"{0: ['brick', 'head'], 1: ['crown', 'head', 'building', 'brick'], 2: ['crown', 'head', 'building', 'brick'], 3: ['crown', 'head', 'building', 'brick'], 4: ['crown', 'head', 'building', 'brick'], 5: ['crown', 'head', 'building', 'brick']}","['crown', 'building']","['{""property"": ""injurious""}']","['{""property"": ""injury""}']","['{""property"": ""injury""}']",{'property': 'injurious'},injurious,1.0,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.4444444444444444,{'property': 'injury'},injury,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5555555555555556,{'property': 'injury'},injury,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5555555555555556
Joe and Elon walked deeper into the ship to find that all the doors slid open like supermarket doors as they approached.,supermarket doors,door,supermarket,automatic,emergent,"(component, emergent, emergent)","(4, 4, 4)","(3, 2, 2)","(2, 1, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"{0: ['door', 'supermarket'], 1: ['supermarket', 'door'], 2: ['supermarket', 'door'], 3: ['supermarket', 'door'], 4: ['supermarket', 'door'], 5: ['supermarket', 'door']}",[],"['{""property"": ""automated""}']","['{""property"": ""automatic""}']","['{""property"": ""welcoming""}']",{'property': 'automated'},automated,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5555555555555556,{'property': 'automatic'},automatic,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5555555555555556,{'property': 'welcoming'},welcoming,0.7777777777777778,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.2222222222222222
"They serve the Valar, the main god's, and the evil ones are basically like twisted archangels. ",twisted archangels,archangel,twist,evil,emergent,"(component, emergent, emergent)","(5, 5, 5)","(2, 2, 2)","(3, 3, 4)",0.0,0.3333333333333333,0.0,0.3333333333333333,False,0.3333333333333333,"{0: ['archangel', 'twist'], 1: ['archangel', 'twist'], 2: ['archangel', 'twist'], 3: ['archangel', 'twist'], 4: ['archangel', 'twist'], 5: ['archangel', 'twist']}",[],"['{""property"": ""chaotic""}']","['{""property"": ""chaotic""}']","['{""property"": ""chaotic""}']",{'property': 'chaotic'},chaotic,0.7777777777777778,0.1111111111111111,0.5555555555555556,0.5555555555555556,0.2222222222222222,{'property': 'chaotic'},chaotic,0.7777777777777778,0.1111111111111111,0.5555555555555556,0.5555555555555556,0.2222222222222222,{'property': 'chaotic'},chaotic,0.7777777777777778,0.2222222222222222,0.4444444444444444,0.4444444444444444,0.33333333333333337
"It's basically like a handicapped spot, but doesn't carry the fine for parking in it if you are not expecting.",a handicapped spot,spot,handicapped,designate,emergent,"(component, emergent, emergent)","(5, 5, 4)","(4, 3, 3)","(3, 2, 3)",0.6666666666666667,1.0,0.3333333333333333,0.0,False,0.3333333333333333,"{0: ['spot', 'handicapped'], 1: ['handicapped', 'spot', 'handicapable'], 2: ['spot'], 3: ['spot'], 4: ['spot'], 5: ['spot']}",[],"['{""property"": ""reserved""}']","['{""property"": ""reserved""}']","['{""property"": ""reserved""}']",{'property': 'reserved'},reserved,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667,{'property': 'reserved'},reserved,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667,{'property': 'reserved'},reserved,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667
"Surely she was trapped there like a villager under ice, and she needed me to save her. ",a villager under ice,villager,ice,in need of rescue,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 4)","(4, 3, 5)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.0,False,0.3333333333333333,"{0: ['villager', 'ice'], 1: ['ice', 'solid', 'cool drink'], 2: ['ice', 'solid', 'cool drink'], 3: ['ice', 'solid', 'cool drink'], 4: ['ice', 'solid', 'cool drink'], 5: ['ice', 'solid', 'cool drink']}","['solid', 'cool drink']","['{""property"": ""preserved""}']","['{""property"": ""preserved""}']","['{""property"": ""preservation""}']",{'property': 'preserved'},preserved,0.7777777777777778,0.3333333333333333,0.8888888888888888,0.8888888888888888,0.0,{'property': 'preserved'},preserved,0.7777777777777778,0.3333333333333333,0.8888888888888888,0.8888888888888888,0.0,{'property': 'preservation'},preservation,0.7777777777777778,0.3333333333333333,0.7777777777777778,0.7777777777777778,0.0
The first revival in Oroomiah seemed to burst forth like a fountain in the desert.,a fountain in the desert,fountain,desert,life,emergent,"(emergent, emergent, component)","(5, 5, 5)","(3, 4, 4)","(1, 2, 2)",0.4444444444444445,0.7777777777777778,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"{0: ['fountain', 'desert'], 1: ['desert', 'fountain', 'water'], 2: ['desert', 'fountain', 'water'], 3: ['desert', 'fountain', 'water'], 4: ['desert', 'fountain', 'water'], 5: ['desert', 'fountain', 'water']}",['water'],"['{""property"": ""oasis""}']","['{""property"": ""oasis""}']","['{""property"": ""oasis""}']",{'property': 'oasis'},oasis,0.8888888888888888,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.5555555555555556,{'property': 'oasis'},oasis,0.8888888888888888,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.5555555555555556,{'property': 'oasis'},oasis,0.8888888888888888,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.5555555555555556
