sentence,combination,root,modifier,property,human_label_majority,meta.human_labels,meta.combination_human_relevance,meta.root_human_relevance,meta.modifier_human_relevance,meta.gpt-4o_emergence,meta.combination_gpt-4o_relevance,meta.root_gpt-4o_relevance,meta.modifier_gpt-4o_relevance,meta.toxicity,meta.gpt-4o_indiv_max,Meta-Llama-3.1-70B-Instruct_multi_0_generated_,Meta-Llama-3.1-70B-Instruct_multi_1_generated_,Meta-Llama-3.1-70B-Instruct_multi_2_generated_
You're as useless as a knitted condom.,a knitted condom,condom,knitted,not effective,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(1, 2, 2)","(1, 5, 5)",0.6666666666666667,1.0,0.1111111111111111,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""torn condom"", ""modifier"": ""torn""}', '{""combination"": ""torn condom"", ""modifier"": ""torn""}', '{""combination"": ""torn condom"", ""modifier"": ""torn""}', '{""combination"": ""torn condom"", ""modifier"": ""torn""}', '{""combination"": ""expired condom"", ""modifier"": ""expired""}']","['{""combination"": ""torn condom"", ""modifier"": ""torn""}', '{""combination"": ""expired condom"", ""modifier"": ""expired""}', '{""combination"": ""damaged condom"", ""modifier"": ""damaged""}', '{""combination"": ""damaged condom"", ""modifier"": ""damaged""}', '{""combination"": ""torn condom"", ""modifier"": ""torn""}']","['{""combination"": ""torn condom"", ""modifier"": ""torn""}', '{""combination"": ""torn condom"", ""modifier"": ""torn""}', '{""combination"": ""torn condom"", ""modifier"": ""torn""}', '{""combination"": ""torn condom"", ""modifier"": ""torn""}', '{""combination"": ""punctured condom"", ""modifier"": ""punctured""}']"
Makes your face as clear as a doctored photo!,a doctored photo,photo,doctor,fake,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(1, 2, 3)","(1, 3, 4)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.0,False,0.3333333333333333,"['{""combination"": ""photoshopped photo"", ""modifier"": ""photoshopped""}', '{""combination"": ""photoshopped photo"", ""modifier"": ""photoshopped""}', '{""combination"": ""photoshopped photo"", ""modifier"": ""photoshopped""}', '{""combination"": ""photoshopped photo"", ""modifier"": ""photoshopped""}', '{""combination"": ""photoshopped photo"", ""modifier"": ""photoshopped""}']","['{""combination"": ""photoshopped photo"", ""modifier"": ""photoshopped""}', '{""combination"": ""photoshopped photo"", ""modifier"": ""photoshopped""}', '{""combination"": ""photoshopped photo"", ""modifier"": ""photoshopped""}', '{""combination"": ""photoshopped photo"", ""modifier"": ""photoshopped""}', '{""combination"": ""photoshopped photo"", ""modifier"": ""photoshopped""}']","['{""combination"": ""photoshopped photo"", ""modifier"": ""photoshopped""}', '{""combination"": ""photoshopped photo"", ""modifier"": ""photoshopped""}', '{""combination"": ""photoshopped photo"", ""modifier"": ""photoshopped""}', '{""combination"": ""photoshopped photo"", ""modifier"": ""photoshopped""}', '{""combination"": ""photoshopped photo"", ""modifier"": ""photoshopped""}']"
"My word, they must be as stupid as pans without handles to call you a lunatic  A lunatic!",pans without handles,pan,handle,impractical,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 2, 2)","(4, 4, 4)",0.7777777777777777,0.8888888888888888,0.1111111111111111,0.1111111111111111,False,0.1111111111111111,"['{""combination"": ""giant pan"", ""modifier"": ""giant""}', '{""combination"": ""giant pan"", ""modifier"": ""giant""}', '{""combination"": ""giant pan"", ""modifier"": ""giant""}', '{""combination"": ""giant pan"", ""modifier"": ""giant""}', '{""combination"": ""giant pan"", ""modifier"": ""giant""}']","['{""combination"": ""giant pan"", ""modifier"": ""giant""}', '{""combination"": ""giant pan"", ""modifier"": ""giant""}', '{""combination"": ""giant pan"", ""modifier"": ""giant""}', '{""combination"": ""oversized pan"", ""modifier"": ""oversized""}', '{""combination"": ""giant pan"", ""modifier"": ""giant""}']","['{""combination"": ""giant pan"", ""modifier"": ""giant""}', '{""combination"": ""aesthetic pan"", ""modifier"": ""aesthetic""}', '{""combination"": ""giant pan"", ""modifier"": ""giant""}', '{""combination"": ""broken pan"", ""modifier"": ""broken""}', '{""combination"": ""giant pan"", ""modifier"": ""giant""}']"
"The bars played freely like keys on a ring, and splayed out in their flight, and did the most dreadful execution.",keys on a ring,key,ring,attached,emergent,"(emergent, emergent, component)","(5, 4, 5)","(3, 1, 4)","(5, 1, 5)",0.6666666666666667,1.0,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""rusted key"", ""modifier"": ""rusted""}', '{""combination"": ""car key"", ""modifier"": ""car""}', '{""combination"": ""rusted key"", ""modifier"": ""rusted""}', '{""combination"": ""rusted key"", ""modifier"": ""rusted""}', '{""combination"": ""tied key"", ""modifier"": ""tied""}']","['{""combination"": ""tied key"", ""modifier"": ""tied""}', '{""combination"": ""ringed key"", ""modifier"": ""ringed""}', '{""combination"": ""rusted key"", ""modifier"": ""rusted""}', '{""combination"": ""rusted key"", ""modifier"": ""rusted""}', '{""combination"": ""ring key"", ""modifier"": ""ring""}']","['{""combination"": ""rusted key"", ""modifier"": ""rusted""}', '{""combination"": ""rusted key"", ""modifier"": ""rusted""}', '{""combination"": ""rusted key"", ""modifier"": ""rusted""}', '{""combination"": ""ringed key"", ""modifier"": ""ringed""}', '{""combination"": ""rusted key"", ""modifier"": ""rusted""}']"
Now these conclusions struck me abrupt like a bat in the eye when I sat down to rest in camp at Echo Spring.,a bat in the eye,bat,eye,sudden,emergent,"(emergent, emergent, emergent)","(4, 5, 5)","(1, 3, 3)","(1, 2, 2)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.0,False,0.3333333333333333,"['{""combination"": ""electric bat"", ""modifier"": ""electric""}', '{""combination"": ""flying bat"", ""modifier"": ""flying""}', '{""combination"": ""nervous bat"", ""modifier"": ""nervous""}', '{""combination"": ""alarmed bat"", ""modifier"": ""alarmed""}', '{""combination"": ""angry bat"", ""modifier"": ""angry""}']","['{""combination"": ""flashlight bat"", ""modifier"": ""flashlight""}', '{""combination"": ""drunk bat"", ""modifier"": ""drunk""}', '{""combination"": ""electric bat"", ""modifier"": ""electric""}', '{""combination"": ""deadly bat"", ""modifier"": ""deadly""}', '{""combination"": ""flashlight bat"", ""modifier"": ""flashlight""}']","['{""combination"": ""dead bat"", ""modifier"": ""dead""}', '{""combination"": ""solar flare-induced bat"", ""modifier"": ""solar flare-induced""}', '{""combination"": ""nervous bat"", ""modifier"": ""nervous""}', '{""combination"": ""drunken bat"", ""modifier"": ""drunken""}', '{""combination"": ""agitated bat"", ""modifier"": ""agitated""}']"
The journey was successfully made and the coming of Boone was to his wife almost like the return of one from the dead.,the return of one from the dead,return,dead,miraculous,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 3, 3)","(4, 2, 4)",0.6666666666666667,1.0,0.3333333333333333,0.0,False,0.3333333333333333,"['{""combination"": ""unexpected return"", ""modifier"": ""unexpected""}', '{""combination"": ""last-minute return"", ""modifier"": ""last-minute""}', '{""combination"": ""unexpected return"", ""modifier"": ""unexpected""}', '{""combination"": ""last-minute return"", ""modifier"": ""last-minute""}', '{""combination"": ""last-minute return"", ""modifier"": ""last-minute""}']","['{""combination"": ""overnight return"", ""modifier"": ""overnight""}', '{""combination"": ""unexpected return"", ""modifier"": ""unexpected""}', '{""combination"": ""last-minute return"", ""modifier"": ""last-minute""}', '{""combination"": ""last-minute return"", ""modifier"": ""last-minute""}', '{""combination"": ""last-minute return"", ""modifier"": ""last-minute""}']","['{""combination"": ""last-minute return"", ""modifier"": ""last-minute""}', '{""combination"": ""last-minute return"", ""modifier"": ""last-minute""}', '{""combination"": ""last-minute return"", ""modifier"": ""last-minute""}', '{""combination"": ""last-minute return"", ""modifier"": ""last-minute""}', '{""combination"": ""last-minute return"", ""modifier"": ""last-minute""}']"
"In effect, the reason I came out is it was like kind of like a slap on the wrist.",a slap on the wrist,slap,wrist,lenient,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(1, 2, 1)","(1, 1, 1)",0.7777777777777777,0.8888888888888888,0.1111111111111111,0.0,False,0.1111111111111111,"['{""combination"": ""gentle slap"", ""modifier"": ""gentle""}', '{""combination"": ""gentle slap"", ""modifier"": ""gentle""}', '{""combination"": ""gentle slap"", ""modifier"": ""gentle""}', '{""combination"": ""gentle slap"", ""modifier"": ""gentle""}', '{""combination"": ""gentle slap"", ""modifier"": ""gentle""}']","['{""combination"": ""gentle slap"", ""modifier"": ""gentle""}', '{""combination"": ""gentle slap"", ""modifier"": ""gentle""}', '{""combination"": ""gentle slap"", ""modifier"": ""gentle""}', '{""combination"": ""gentle slap"", ""modifier"": ""gentle""}', '{""combination"": ""gentle slap"", ""modifier"": ""gentle""}']","['{""combination"": ""gentle slap"", ""modifier"": ""gentle""}', '{""combination"": ""gentle slap"", ""modifier"": ""gentle""}', '{""combination"": ""gentle slap"", ""modifier"": ""gentle""}', '{""combination"": ""gentle slap"", ""modifier"": ""gentle""}', '{""combination"": ""gentle slap"", ""modifier"": ""gentle""}']"
Babies with teeth are almost as scary as birds with arms...,birds with arms,bird,arm,unexpected,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 2)","(1, 2, 3)",0.6666666666666667,1.0,0.3333333333333333,0.1111111111111111,False,0.3333333333333333,"['{""combination"": ""tropical bird"", ""modifier"": ""tropical""}', '{""combination"": ""domesticated bird"", ""modifier"": ""domesticated""}', '{""combination"": ""domesticated bird"", ""modifier"": ""domesticated""}', '{""combination"": ""giant bird"", ""modifier"": ""giant""}', '{""combination"": ""potted bird"", ""modifier"": ""potted""}']","['{""combination"": ""domesticated bird"", ""modifier"": ""domesticated""}', '{""combination"": ""giant bird"", ""modifier"": ""giant""}', '{""combination"": ""polar bird"", ""modifier"": ""polar""}', '{""combination"": ""giant bird"", ""modifier"": ""giant""}', '{""combination"": ""giant bird"", ""modifier"": ""giant""}']","['{""combination"": ""domesticated bird"", ""modifier"": ""domesticated""}', '{""combination"": ""domesticated bird"", ""modifier"": ""domesticated""}', '{""combination"": ""albino bird"", ""modifier"": ""albino""}', '{""combination"": ""giant bird"", ""modifier"": ""giant""}', '{""combination"": ""domesticated bird"", ""modifier"": ""domesticated""}']"
"Now, I'm not saying that Manard wasn't as dead as a dried herring.",a dried herring,herring,dry,dead,emergent,"(emergent, emergent, component)","(4, 4, 5)","(1, 3, 2)","(1, 2, 2)",0.6666666666666667,1.0,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""pickled herring"", ""modifier"": ""pickled""}', '{""combination"": ""rotten herring"", ""modifier"": ""rotten""}', '{""combination"": ""pickled herring"", ""modifier"": ""pickled""}', '{""combination"": ""pickled herring"", ""modifier"": ""pickled""}', '{""combination"": ""rotten herring"", ""modifier"": ""rotten""}']","['{""combination"": ""pickled herring"", ""modifier"": ""pickled""}', '{""combination"": ""rotten herring"", ""modifier"": ""rotten""}', '{""combination"": ""rotten herring"", ""modifier"": ""rotten""}', '{""combination"": ""pickled herring"", ""modifier"": ""pickled""}', '{""combination"": ""rotten herring"", ""modifier"": ""rotten""}']","['{""combination"": ""rotten herring"", ""modifier"": ""rotten""}', '{""combination"": ""rotten herring"", ""modifier"": ""rotten""}', '{""combination"": ""pickled herring"", ""modifier"": ""pickled""}', '{""combination"": ""pickled herring"", ""modifier"": ""pickled""}', '{""combination"": ""pickled herring"", ""modifier"": ""pickled""}']"
"The elderly are as oblivious as distracted drivers, but will be given favorable treatment getting warning instead of ticket by cops because they've paid their dues to society",distracted drivers,driver,distract,unsafe,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 4, 5)","(5, 4, 5)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""tired driver"", ""modifier"": ""tired""}', '{""combination"": ""drunk driver"", ""modifier"": ""drunk""}', '{""combination"": ""reckless driver"", ""modifier"": ""reckless""}', '{""combination"": ""drunk driver"", ""modifier"": ""drunk""}', '{""combination"": ""drunk driver"", ""modifier"": ""drunk""}']","['{""combination"": ""sleep-deprived driver"", ""modifier"": ""sleep-deprived""}', '{""combination"": ""drunk driver"", ""modifier"": ""drunk""}', '{""combination"": ""drunk driver"", ""modifier"": ""drunk""}', '{""combination"": ""drunk driver"", ""modifier"": ""drunk""}', '{""combination"": ""tired driver"", ""modifier"": ""tired""}']","['{""combination"": ""drunk driver"", ""modifier"": ""drunk""}', '{""combination"": ""drunk driver"", ""modifier"": ""drunk""}', '{""combination"": ""reckless driver"", ""modifier"": ""reckless""}', '{""combination"": ""drunk driver"", ""modifier"": ""drunk""}', '{""combination"": ""drunk driver"", ""modifier"": ""drunk""}']"
"Now considering Earth exists I doubt life is as unlikely as a cube planet, but you get my point. ",a cube planet,planet,cube,improbable,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 1, 2)","(4, 1, 4)",1.0,1.0,0.0,0.0,False,0.0,"['{""combination"": ""fictional planet"", ""modifier"": ""fictional""}', '{""combination"": ""fictional planet"", ""modifier"": ""fictional""}', '{""combination"": ""fictional planet"", ""modifier"": ""fictional""}', '{""combination"": ""hypothetical planet"", ""modifier"": ""hypothetical""}', '{""combination"": ""imaginary planet"", ""modifier"": ""imaginary""}']","['{""combination"": ""fictional planet"", ""modifier"": ""fictional""}', '{""combination"": ""dwarf planet"", ""modifier"": ""dwarf""}', '{""combination"": ""dwarf planet"", ""modifier"": ""dwarf""}', '{""combination"": ""fictional planet"", ""modifier"": ""fictional""}', '{""combination"": ""hypothetical planet"", ""modifier"": ""hypothetical""}']","['{""combination"": ""fictional planet"", ""modifier"": ""fictional""}', '{""combination"": ""fictional planet"", ""modifier"": ""fictional""}', '{""combination"": ""fictional planet"", ""modifier"": ""fictional""}', '{""combination"": ""hypothetical planet"", ""modifier"": ""hypothetical""}', '{""combination"": ""fictional planet"", ""modifier"": ""fictional""}']"
This is as subtle as a brick to the head is nonviolent.,a brick to the head,brick,head,forceful,emergent,"(emergent, component, emergent)","(5, 5, 4)","(4, 4, 1)","(2, 2, 1)",0.6666666666666667,1.0,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""flying brick"", ""modifier"": ""flying""}', '{""combination"": ""flying brick"", ""modifier"": ""flying""}', '{""combination"": ""flying brick"", ""modifier"": ""flying""}', '{""combination"": ""flying brick"", ""modifier"": ""flying""}', '{""combination"": ""flying brick"", ""modifier"": ""flying""}']","['{""combination"": ""flying brick"", ""modifier"": ""flying""}', '{""combination"": ""flying brick"", ""modifier"": ""flying""}', '{""combination"": ""flying brick"", ""modifier"": ""flying""}', '{""combination"": ""flying brick"", ""modifier"": ""flying""}', '{""combination"": ""flying brick"", ""modifier"": ""flying""}']","['{""combination"": ""flying brick"", ""modifier"": ""flying""}', '{""combination"": ""flying brick"", ""modifier"": ""flying""}', '{""combination"": ""flying brick"", ""modifier"": ""flying""}', '{""combination"": ""flying brick"", ""modifier"": ""flying""}', '{""combination"": ""flying brick"", ""modifier"": ""flying""}']"
Joe and Elon walked deeper into the ship to find that all the doors slid open like supermarket doors as they approached.,supermarket doors,door,supermarket,automatic,emergent,"(component, emergent, emergent)","(4, 4, 4)","(3, 2, 2)","(2, 1, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""sliding door"", ""modifier"": ""sliding""}', '{""combination"": ""sliding door"", ""modifier"": ""sliding""}', '{""combination"": ""electric door"", ""modifier"": ""electric""}', '{""combination"": ""electric door"", ""modifier"": ""electric""}', '{""combination"": ""electric door"", ""modifier"": ""electric""}']","['{""combination"": ""electric door"", ""modifier"": ""electric""}', '{""combination"": ""electric door"", ""modifier"": ""electric""}', '{""combination"": ""electric door"", ""modifier"": ""electric""}', '{""combination"": ""electric door"", ""modifier"": ""electric""}', '{""combination"": ""electric door"", ""modifier"": ""electric""}']","['{""combination"": ""electric door"", ""modifier"": ""electric""}', '{""combination"": ""electric door"", ""modifier"": ""electric""}', '{""combination"": ""electric door"", ""modifier"": ""electric""}', '{""combination"": ""electric door"", ""modifier"": ""electric""}', '{""combination"": ""electric door"", ""modifier"": ""electric""}']"
"It's almost like polite smiles rather than, you know, real, robust, coming from your innersoul kind of a smile.",polite smiles,smile,polite,superficial,emergent,"(emergent, emergent, emergent)","(5, 5, 4)","(2, 3, 2)","(4, 4, 4)",0.4444444444444445,0.7777777777777778,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""polite smile"", ""modifier"": ""polite""}', '{""combination"": ""polite smile"", ""modifier"": ""polite""}', '{""combination"": ""forced smile"", ""modifier"": ""forced""}', '{""combination"": ""forced smile"", ""modifier"": ""forced""}', '{""combination"": ""polite smile"", ""modifier"": ""polite""}']","['{""combination"": ""forced smile"", ""modifier"": ""forced""}', '{""combination"": ""forced smile"", ""modifier"": ""forced""}', '{""combination"": ""forced smile"", ""modifier"": ""forced""}', '{""combination"": ""polite smile"", ""modifier"": ""polite""}', '{""combination"": ""polite smile"", ""modifier"": ""polite""}']","['{""combination"": ""forced smile"", ""modifier"": ""forced""}', '{""combination"": ""polite smile"", ""modifier"": ""polite""}', '{""combination"": ""polite smile"", ""modifier"": ""polite""}', '{""combination"": ""polite smile"", ""modifier"": ""polite""}', '{""combination"": ""polite smile"", ""modifier"": ""polite""}']"
He stood and looked as puzzled as a bee in a bottle.,a bee in a bottle,bee,bottle,trapped,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 2, 2)","(5, 4, 4)",0.6666666666666666,0.8888888888888888,0.1111111111111111,0.2222222222222222,False,0.2222222222222222,"['{""combination"": ""bee in a jar"", ""modifier"": ""in a jar""}', '{""combination"": ""bee in a jar"", ""modifier"": ""in a jar""}', '{""combination"": ""bee in a jar"", ""modifier"": ""in a jar""}', '{""combination"": ""bee in a jar"", ""modifier"": ""in a jar""}', '{""combination"": ""bee in a jar"", ""modifier"": ""in a jar""}']","['{""combination"": ""bee in a jar"", ""modifier"": ""in a jar""}', '{""combination"": ""caged bee"", ""modifier"": ""caged""}', '{""combination"": ""bee in a jar"", ""modifier"": ""in a jar""}', '{""combination"": ""bee in a jar"", ""modifier"": ""in a jar""}', '{""combination"": ""caged bee"", ""modifier"": ""caged""}']","['{""combination"": ""bee in a jar"", ""modifier"": ""in a jar""}', '{""combination"": ""bee in a jar"", ""modifier"": ""in a jar""}', '{""combination"": ""bee in a jar"", ""modifier"": ""in a jar""}', '{""combination"": ""bee in a jar"", ""modifier"": ""in a jar""}', '{""combination"": ""caged bee"", ""modifier"": ""caged""}']"
"Fanny's face was clean, and her hair was nicely brushed she did not look now like a child of the gutter.",a child of the gutter,child,gutter,underprivileged,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 3, 3)","(1, 5, 4)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""street child"", ""modifier"": ""street""}', '{""combination"": ""impoverished child"", ""modifier"": ""impoverished""}', '{""combination"": ""homeless child"", ""modifier"": ""homeless""}', '{""combination"": ""impoverished child"", ""modifier"": ""impoverished""}', '{""combination"": ""street child"", ""modifier"": ""street""}']","['{""combination"": ""orphaned child"", ""modifier"": ""orphaned""}', '{""combination"": ""poor child"", ""modifier"": ""poor""}', '{""combination"": ""impoverished child"", ""modifier"": ""impoverished""}', '{""combination"": ""street child"", ""modifier"": ""street""}', '{""combination"": ""inner-city child"", ""modifier"": ""inner-city""}']","['{""combination"": ""street child"", ""modifier"": ""street""}', '{""combination"": ""homeless child"", ""modifier"": ""homeless""}', '{""combination"": ""homeless child"", ""modifier"": ""homeless""}', '{""combination"": ""homeless child"", ""modifier"": ""homeless""}', '{""combination"": ""street child"", ""modifier"": ""street""}']"
"james ' voice was as soft as the rustling of the leaves , and when i looked at him , i could see goose bumps standing out on his tanned legs .",the rustling of the leaves,rustling,leave,calm,emergent,"(emergent, emergent, emergent)","(3, 3, 3)","(2, 2, 1)","(1, 2, 2)",0.4444444444444445,0.5555555555555556,0.1111111111111111,0.1111111111111111,False,0.1111111111111111,"['{""combination"": ""soothing rustling"", ""modifier"": ""soothing""}', '{""combination"": ""soothing rustling"", ""modifier"": ""soothing""}', '{""combination"": ""ocean rustling"", ""modifier"": ""ocean""}', '{""combination"": ""ocean rustling"", ""modifier"": ""ocean""}', '{""combination"": ""gentle rustling"", ""modifier"": ""gentle""}']","['{""combination"": ""ocean rustling"", ""modifier"": ""ocean""}', '{""combination"": ""gentle rustling"", ""modifier"": ""gentle""}', '{""combination"": ""soothing rustling"", ""modifier"": ""soothing""}', '{""combination"": ""gentle rustling"", ""modifier"": ""gentle""}', '{""combination"": ""gentle rustling"", ""modifier"": ""gentle""}']","['{""combination"": ""gentle rustling"", ""modifier"": ""gentle""}', '{""combination"": ""ocean rustling"", ""modifier"": ""ocean""}', '{""combination"": ""ocean rustling"", ""modifier"": ""ocean""}', '{""combination"": ""gentle rustling"", ""modifier"": ""gentle""}', '{""combination"": ""gentle rustling"", ""modifier"": ""gentle""}']"
A Government without people is as useful as a clock without power.,a clock without power,clock,power,useless,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(1, 3, 1)","(1, 4, 1)",0.7777777777777777,0.8888888888888888,0.1111111111111111,0.0,False,0.1111111111111111,"['{""combination"": ""broken clock"", ""modifier"": ""broken""}', '{""combination"": ""broken clock"", ""modifier"": ""broken""}', '{""combination"": ""broken clock"", ""modifier"": ""broken""}', '{""combination"": ""broken clock"", ""modifier"": ""broken""}', '{""combination"": ""broken clock"", ""modifier"": ""broken""}']","['{""combination"": ""broken clock"", ""modifier"": ""broken""}', '{""combination"": ""broken clock"", ""modifier"": ""broken""}', '{""combination"": ""broken clock"", ""modifier"": ""broken""}', '{""combination"": ""broken clock"", ""modifier"": ""broken""}', '{""combination"": ""broken clock"", ""modifier"": ""broken""}']","['{""combination"": ""broken clock"", ""modifier"": ""broken""}', '{""combination"": ""broken clock"", ""modifier"": ""broken""}', '{""combination"": ""broken clock"", ""modifier"": ""broken""}', '{""combination"": ""broken clock"", ""modifier"": ""broken""}', '{""combination"": ""broken clock"", ""modifier"": ""broken""}']"
"My body was as tense as a wound up spring, and when one of the waiters reached for a gun it seemed like time slowed down.",a wound up spring,wound,spring,tense,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(4, 3, 2)","(3, 5, 4)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""fresh wound"", ""modifier"": ""fresh""}', '{""combination"": ""fresh wound"", ""modifier"": ""fresh""}', '{""combination"": ""fresh wound"", ""modifier"": ""fresh""}', '{""combination"": ""fresh wound"", ""modifier"": ""fresh""}', '{""combination"": ""fresh wound"", ""modifier"": ""fresh""}']","['{""combination"": ""fresh wound"", ""modifier"": ""fresh""}', '{""combination"": ""fresh wound"", ""modifier"": ""fresh""}', '{""combination"": ""fresh wound"", ""modifier"": ""fresh""}', '{""combination"": ""fresh wound"", ""modifier"": ""fresh""}', '{""combination"": ""fresh wound"", ""modifier"": ""fresh""}']","['{""combination"": ""fresh wound"", ""modifier"": ""fresh""}', '{""combination"": ""fresh wound"", ""modifier"": ""fresh""}', '{""combination"": ""fresh wound"", ""modifier"": ""fresh""}', '{""combination"": ""fresh wound"", ""modifier"": ""fresh""}', '{""combination"": ""fresh wound"", ""modifier"": ""fresh""}']"
More like things before the marathon.,things before the marathon,thing,marathon,preparatory,emergent,"(emergent, emergent, emergent)","(5, 4, 5)","(2, 1, 2)","(4, 2, 4)",0.2222222222222222,0.7777777777777778,0.3333333333333333,0.5555555555555556,False,0.5555555555555556,"['{""combination"": ""initial thing"", ""modifier"": ""initial""}', '{""combination"": ""rehearsal thing"", ""modifier"": ""rehearsal""}', '{""combination"": ""rehearsal thing"", ""modifier"": ""rehearsal""}', '{""combination"": ""introductory thing"", ""modifier"": ""introductory""}', '{""combination"": ""warm-up thing"", ""modifier"": ""warm-up""}']","['{""combination"": ""initial thing"", ""modifier"": ""initial""}', '{""combination"": ""training thing"", ""modifier"": ""training""}', '{""combination"": ""initial thing"", ""modifier"": ""initial""}', '{""combination"": ""introductory thing"", ""modifier"": ""introductory""}', '{""combination"": ""training thing"", ""modifier"": ""training""}']","['{""combination"": ""initial thing"", ""modifier"": ""initial""}', '{""combination"": ""initial thing"", ""modifier"": ""initial""}', '{""combination"": ""initial thing"", ""modifier"": ""initial""}', '{""combination"": ""initial thing"", ""modifier"": ""initial""}', '{""combination"": ""initial thing"", ""modifier"": ""initial""}']"
Glad you didnt splat like an insect in a windshield this time.,an insect in a windshield,insect,windshield,squished,emergent,"(emergent, emergent, emergent)","(4, 5, 5)","(1, 3, 3)","(1, 4, 4)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.0,False,0.3333333333333333,"['{""combination"": ""stepped on insect"", ""modifier"": ""stepped on""}', '{""combination"": ""dead insect"", ""modifier"": ""dead""}', '{""combination"": ""stepped-on insect"", ""modifier"": ""stepped-on""}', '{""combination"": ""stepped on insect"", ""modifier"": ""stepped on""}', '{""combination"": ""dead insect"", ""modifier"": ""dead""}']","['{""combination"": ""stepped-on insect"", ""modifier"": ""stepped-on""}', '{""combination"": ""stepped on insect"", ""modifier"": ""stepped on""}', '{""combination"": ""dead insect"", ""modifier"": ""dead""}', '{""combination"": ""dead insect"", ""modifier"": ""dead""}', '{""combination"": ""stepped-on insect"", ""modifier"": ""stepped-on""}']","['{""combination"": ""stepped-on insect"", ""modifier"": ""stepped-on""}', '{""combination"": ""stepped-on insect"", ""modifier"": ""stepped-on""}', '{""combination"": ""stepped-on insect"", ""modifier"": ""stepped-on""}', '{""combination"": ""dead insect"", ""modifier"": ""dead""}', '{""combination"": ""stepped-on insect"", ""modifier"": ""stepped-on""}']"
"The boy had hardly caught a glimpse of it before it vanished, gliding swiftly like an animal into the brush.",an animal into the brush,animal,brush,stealthy,emergent,"(emergent, emergent, component)","(5, 4, 5)","(4, 4, 4)","(3, 5, 4)",0.2222222222222222,0.5555555555555556,0.3333333333333333,0.0,False,0.3333333333333333,"['{""combination"": ""nocturnal animal"", ""modifier"": ""nocturnal""}', '{""combination"": ""trained animal"", ""modifier"": ""trained""}', '{""combination"": ""trained animal"", ""modifier"": ""trained""}', '{""combination"": ""nocturnal animal"", ""modifier"": ""nocturnal""}', '{""combination"": ""nocturnal animal"", ""modifier"": ""nocturnal""}']","['{""combination"": ""night animal"", ""modifier"": ""night""}', '{""combination"": ""trained animal"", ""modifier"": ""trained""}', '{""combination"": ""trained animal"", ""modifier"": ""trained""}', '{""combination"": ""nocturnal animal"", ""modifier"": ""nocturnal""}', '{""combination"": ""nocturnal animal"", ""modifier"": ""nocturnal""}']","['{""combination"": ""nocturnal animal"", ""modifier"": ""nocturnal""}', '{""combination"": ""nocturnal animal"", ""modifier"": ""nocturnal""}', '{""combination"": ""nocturnal animal"", ""modifier"": ""nocturnal""}', '{""combination"": ""trained animal"", ""modifier"": ""trained""}', '{""combination"": ""nocturnal animal"", ""modifier"": ""nocturnal""}']"
