sentence,combination,root,modifier,property,human_label_majority,meta.human_labels,meta.combination_human_relevance,meta.root_human_relevance,meta.modifier_human_relevance,meta.gpt-4o_emergence,meta.combination_gpt-4o_relevance,meta.root_gpt-4o_relevance,meta.modifier_gpt-4o_relevance,meta.toxicity,meta.gpt-4o_indiv_max,o1-mini-2024-09-12_naive_0_generated_,o1-mini-2024-09-12_naive_1_generated_,o1-mini-2024-09-12_naive_2_generated_,o1-mini-2024-09-12_naive_0_generated,o1-mini-2024-09-12_naive_0_combination,o1-mini-2024-09-12_naive_0_modifier,o1-mini-2024-09-12_naive_0_combination_relevance,o1-mini-2024-09-12_naive_0_modifier_relevance,o1-mini-2024-09-12_naive_0_indiv_max,o1-mini-2024-09-12_naive_0_emergence,o1-mini-2024-09-12_naive_1_generated,o1-mini-2024-09-12_naive_1_combination,o1-mini-2024-09-12_naive_1_modifier,o1-mini-2024-09-12_naive_1_combination_relevance,o1-mini-2024-09-12_naive_1_modifier_relevance,o1-mini-2024-09-12_naive_1_indiv_max,o1-mini-2024-09-12_naive_1_emergence,o1-mini-2024-09-12_naive_2_generated,o1-mini-2024-09-12_naive_2_combination,o1-mini-2024-09-12_naive_2_modifier,o1-mini-2024-09-12_naive_2_combination_relevance,o1-mini-2024-09-12_naive_2_modifier_relevance,o1-mini-2024-09-12_naive_2_indiv_max,o1-mini-2024-09-12_naive_2_emergence
"The staff is about as knowledgeable as an anchor out of water, and appear about as hygienic as tubgirl don't look that up. ",an anchor out of water,anchor,water,useless,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(4, 4, 2)","(4, 3, 2)",0.7777777777777778,0.7777777777777778,0.0,0.0,False,0.0,"['{""combination"": ""decorative anchor"", ""modifier"": ""decorative""}']","['{""combination"": ""light anchor"", ""modifier"": ""light""}']","['{""combination"": ""decorative anchor"", ""modifier"": ""decorative""}']","{'combination': 'decorative anchor', 'modifier': 'decorative'}",decorative anchor,decorative,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.4444444444444445,"{'combination': 'light anchor', 'modifier': 'light'}",light anchor,light,0.6666666666666666,0.0,0.0,0.6666666666666666,"{'combination': 'decorative anchor', 'modifier': 'decorative'}",decorative anchor,decorative,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.5555555555555556
"She was listless, as directionless as a ship without a rudder. ",a ship without a rudder,ship,rudder,lack of control,emergent,"(emergent, component, emergent)","(5, 5, 5)","(3, 5, 2)","(5, 5, 4)",0.6666666666666667,1.0,0.3333333333333333,0.0,False,0.3333333333333333,"['{""combination"": ""abandoned ship"", ""modifier"": ""abandoned""}']","['{""combination"": ""unmanned ship"", ""modifier"": ""unmanned""}']","['{""combination"": ""broken ship"", ""modifier"": ""broken""}']","{'combination': 'abandoned ship', 'modifier': 'abandoned'}",abandoned ship,abandon,0.8888888888888888,0.6666666666666666,0.6666666666666666,0.2222222222222222,"{'combination': 'unmanned ship', 'modifier': 'unmanned'}",unmanned ship,unmanned,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.22222222222222227,"{'combination': 'broken ship', 'modifier': 'broken'}",broken ship,break,0.7777777777777778,0.5555555555555556,0.5555555555555556,0.2222222222222222
Contorting and perverting a mind to pair it with another crashed the two together like a boat on the rocks.,a boat on the rocks,boat,rock,stranded,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 2, 3)","(4, 4, 4)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.0,False,0.3333333333333333,"['{""combination"": ""remote boat"", ""modifier"": ""remote""}']","['{""combination"": ""remote boat"", ""modifier"": ""remote""}']","['{""combination"": ""broken boat"", ""modifier"": ""broken""}']","{'combination': 'remote boat', 'modifier': 'remote'}",remote boat,remote,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.0,"{'combination': 'remote boat', 'modifier': 'remote'}",remote boat,remote,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.0,"{'combination': 'broken boat', 'modifier': 'broken'}",broken boat,break,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.5555555555555556
"his vision was foggy like breath on a mirror , causing the flight information on the digital departure board to appear illegible . ",breath on a mirror,breath,mirror,foggy,emergent,"(emergent, emergent, emergent)","(4, 5, 5)","(1, 4, 3)","(1, 3, 2)",0.6666666666666667,1.0,0.3333333333333333,0.1111111111111111,False,0.3333333333333333,"['{""combination"": ""cold breath"", ""modifier"": ""cold""}']","['{""combination"": ""visible breath"", ""modifier"": ""visible""}']","['{""combination"": ""cold breath"", ""modifier"": ""cold""}']","{'combination': 'cold breath', 'modifier': 'cold'}",cold breath,cold,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.22222222222222227,"{'combination': 'visible breath', 'modifier': 'visible'}",visible breath,visible,0.3333333333333333,0.0,0.3333333333333333,0.0,"{'combination': 'cold breath', 'modifier': 'cold'}",cold breath,cold,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.4444444444444445
Also paranoid people like me will think What if its just frosted on my side and they can look right in like a oneway mirror?!?!?,a oneway mirror,mirror,oneway,deceptive,emergent,"(emergent, emergent, component)","(5, 5, 5)","(3, 2, 4)","(4, 3, 5)",0.5555555555555556,0.8888888888888888,0.2222222222222222,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""funhouse mirror"", ""modifier"": ""funhouse""}']","['{""combination"": ""funhouse mirror"", ""modifier"": ""funhouse""}']","['{""combination"": ""two-way mirror"", ""modifier"": ""two-way""}']","{'combination': 'funhouse mirror', 'modifier': 'funhouse'}",funhouse mirror,funhouse,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.11111111111111116,"{'combination': 'funhouse mirror', 'modifier': 'funhouse'}",funhouse mirror,funhouse,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,"{'combination': 'two-way mirror', 'modifier': 'two-way'}",two-way mirror,way,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.5555555555555556
"I slunk ashore like a beaten dog, not caring what became of me, and, returning to my old lodgings at the shoemaker's, set about spending my little stock of cash in reckless fashion.","a beaten dog,",dog,beat,submissive,emergent,"(emergent, emergent, component)","(5, 5, 5)","(3, 2, 3)","(5, 2, 4)",0.4444444444444445,0.7777777777777778,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""trained dog"", ""modifier"": ""trained""}']","['{""combination"": ""quiet dog"", ""modifier"": ""quiet""}']","['{""combination"": ""trained dog"", ""modifier"": ""trained""}']","{'combination': 'trained dog', 'modifier': 'trained'}",trained dog,train,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,"{'combination': 'quiet dog', 'modifier': 'quiet'}",quiet dog,quiet,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.22222222222222227,"{'combination': 'trained dog', 'modifier': 'trained'}",trained dog,train,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333
After they had gone a short distance away from the town the country seemed as lonely as the wildest prairie.,the wildest prairie,prairie,wild,lonely,emergent,"(emergent, emergent, emergent)","(4, 4, 5)","(3, 3, 3)","(2, 4, 4)",0.4444444444444445,0.7777777777777778,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""vast prairie"", ""modifier"": ""vast""}']","['{""combination"": ""open prairie"", ""modifier"": ""open""}']","['{""combination"": ""peaceful prairie"", ""modifier"": ""peaceful""}']","{'combination': 'vast prairie', 'modifier': 'vast'}",vast prairie,vast,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.0,"{'combination': 'open prairie', 'modifier': 'open'}",open prairie,open,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.0,"{'combination': 'peaceful prairie', 'modifier': 'peaceful'}",peaceful prairie,peaceful,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.22222222222222227
"my job was to stand strong for my house and my master , not give myself away like a wilting violet because i was afraid i 'd ruin him .",a wilting violet,violet,wilt,timid,emergent,"(emergent, emergent, emergent)","(4, 4, 4)","(3, 2, 2)","(1, 3, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""delicate violet"", ""modifier"": ""delicate""}']","['{""combination"": ""soft violet"", ""modifier"": ""soft""}']","['{""combination"": ""small violet"", ""modifier"": ""small""}']","{'combination': 'delicate violet', 'modifier': 'delicate'}",delicate violet,delicate,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.22222222222222227,"{'combination': 'soft violet', 'modifier': 'soft'}",soft violet,soft,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.22222222222222227,"{'combination': 'small violet', 'modifier': 'small'}",small violet,small,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.22222222222222227
"In a study, some of the infected juveniles were only half as heavy as controls with no worms.",controls with no worms,control,worm,uninfected,emergent,"(emergent, emergent, component)","(5, 4, 4)","(2, 1, 2)","(3, 1, 2)",0.5555555555555556,0.8888888888888888,0.0,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""negative control"", ""modifier"": ""negative""}']","['{""combination"": ""healthy control"", ""modifier"": ""healthy""}']","['{""combination"": ""negative control"", ""modifier"": ""negative""}']","{'combination': 'negative control', 'modifier': 'negative'}",negative control,negative,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.11111111111111105,"{'combination': 'healthy control', 'modifier': 'healthy'}",healthy control,healthy,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0,"{'combination': 'negative control', 'modifier': 'negative'}",negative control,negative,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0
Well that's about as smart as an elevator in an outhouse,an elevator in an outhouse,elevator,outhouse,nonsensical,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(4, 2, 5)","(5, 2, 4)",1.0,1.0,0.0,0.0,False,0.0,"['{""combination"": ""banana elevator"", ""modifier"": ""banana""}']","['{""combination"": ""abstract elevator"", ""modifier"": ""abstract""}']","['{""combination"": ""banana elevator"", ""modifier"": ""banana""}']","{'combination': 'banana elevator', 'modifier': 'banana'}",banana elevator,banana,1.0,0.0,0.0,1.0,"{'combination': 'abstract elevator', 'modifier': 'abstract'}",abstract elevator,abstract,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.4444444444444445,"{'combination': 'banana elevator', 'modifier': 'banana'}",banana elevator,banana,0.8888888888888888,0.0,0.0,0.8888888888888888
"Yes but with something a little more political it's important to know its fake, more so when it's not blatantly obvious like a talking dog.",a talking dog,dog,talk,fantastical,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 1, 1)","(4, 1, 4)",0.8888888888888888,1.0,0.0,0.1111111111111111,False,0.1111111111111111,"['{""combination"": ""giant dog"", ""modifier"": ""giant""}']","['{""combination"": ""giant dog"", ""modifier"": ""giant""}']","['{""combination"": ""talking dog"", ""modifier"": ""talking""}']","{'combination': 'giant dog', 'modifier': 'giant'}",giant dog,giant,0.1111111111111111,0.6666666666666666,0.6666666666666666,0.0,"{'combination': 'giant dog', 'modifier': 'giant'}",giant dog,giant,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.0,"{'combination': 'talking dog', 'modifier': 'talking'}",talking dog,talk,0.8888888888888888,0.0,0.0,0.8888888888888888
,a battery farm,farm,battery,inhumane,emergent,"(emergent, emergent, emergent)","(4, 5, 5)","(1, 2, 2)","(1, 5, 5)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.0,True,0.3333333333333333,"['```json\n{""combination"": ""factory farm"", ""modifier"": ""factory""}\n```']","['{""combination"": ""factory farm"", ""modifier"": ""factory""}']","['{""combination"": ""factory farm"", ""modifier"": ""factory""}']","{'combination': 'factory farm', 'modifier': 'factory'}",factory farm,factory,0.8888888888888888,0.5555555555555556,0.5555555555555556,0.33333333333333326,"{'combination': 'factory farm', 'modifier': 'factory'}",factory farm,factory,0.8888888888888888,0.4444444444444444,0.4444444444444444,0.4444444444444444,"{'combination': 'factory farm', 'modifier': 'factory'}",factory farm,factory,0.8888888888888888,0.5555555555555556,0.5555555555555556,0.33333333333333326
"The tops of the boxes also seemed alive, for they rose and fell regularly like the breast of a sleeper.",the breast of a sleeper,breast,sleeper,rhythmic movement,emergent,"(emergent, emergent, emergent)","(5, 4, 4)","(3, 1, 3)","(4, 1, 4)",0.7777777777777777,0.8888888888888888,0.0,0.1111111111111111,True,0.1111111111111111,"['{""combination"": ""moving breast"", ""modifier"": ""moving""}']","['{""combination"": ""moving breast"", ""modifier"": ""moving""}']","['{""combination"": ""breast pump"", ""modifier"": ""pump""}']","{'combination': 'moving breast', 'modifier': 'moving'}",moving breast,move,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.22222222222222227,"{'combination': 'moving breast', 'modifier': 'moving'}",moving breast,move,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,"{'combination': 'breast pump', 'modifier': 'pump'}",breast pump,pump,0.8888888888888888,0.5555555555555556,0.5555555555555556,0.33333333333333326
"A teacher without a school, or outside a school, seems to them rather like a gunner without a gun.",a gunner without a gun,gunner,gun,ineffective,emergent,"(emergent, component, emergent)","(5, 5, 5)","(4, 5, 4)","(2, 5, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.1111111111111111,False,0.3333333333333333,"['{""combination"": ""novice gunner"", ""modifier"": ""novice""}']","['{""combination"": ""rookie gunner"", ""modifier"": ""rookie""}']","['{""combination"": ""novice gunner"", ""modifier"": ""novice""}']","{'combination': 'novice gunner', 'modifier': 'novice'}",novice gunner,novice,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.11111111111111116,"{'combination': 'rookie gunner', 'modifier': 'rookie'}",rookie gunner,rookie,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,"{'combination': 'novice gunner', 'modifier': 'novice'}",novice gunner,novice,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.11111111111111116
Nothin' means lovin' like a baby in the oven!,a baby in the oven,baby,oven,unthinkable,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(1, 4, 5)","(1, 3, 4)",0.6666666666666667,1.0,0.3333333333333333,0.0,True,0.3333333333333333,"['{""combination"": ""dead baby"", ""modifier"": ""dead""}']","['{""combination"": ""multi-headed baby"", ""modifier"": ""multi-headed""}']","['{""combination"": ""dead baby"", ""modifier"": ""dead""}']","{'combination': 'dead baby', 'modifier': 'dead'}",dead baby,dead,0.8888888888888888,0.0,0.3333333333333333,0.5555555555555556,"{'combination': 'multi-headed baby', 'modifier': 'multi-headed'}",multi-headed baby,multi,0.7777777777777778,0.0,0.3333333333333333,0.4444444444444445,"{'combination': 'dead baby', 'modifier': 'dead'}",dead baby,dead,0.8888888888888888,0.0,0.3333333333333333,0.5555555555555556
"row after row of blackandwhite halftimbered buildings lined the cobbled lanes , pressed tight like books on a shelf . ",books on a shelf,book,shelf,closely packed,emergent,"(emergent, emergent, component)","(5, 5, 5)","(2, 2, 2)","(3, 3, 3)",0.3333333333333332,0.8888888888888888,0.3333333333333333,0.5555555555555556,False,0.5555555555555556,"['{""combination"": ""dense book"", ""modifier"": ""dense""}']","['{""combination"": ""thick book"", ""modifier"": ""thick""}']","['```json\n{""combination"": ""boxed book"", ""modifier"": ""boxed""}\n```']","{'combination': 'dense book', 'modifier': 'dense'}",dense book,dense,0.7777777777777778,1.0,1.0,0.0,"{'combination': 'thick book', 'modifier': 'thick'}",thick book,thick,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.0,"{'combination': 'boxed book', 'modifier': 'boxed'}",boxed book,box,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667
You're as useless as a knitted condom.,a knitted condom,condom,knitted,not effective,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(1, 2, 2)","(1, 5, 5)",0.6666666666666667,1.0,0.1111111111111111,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""small condom"", ""modifier"": ""small""}']","['{""combination"": ""cheap condom"", ""modifier"": ""cheap""}']","['{""combination"": ""loose condom"", ""modifier"": ""loose""}']","{'combination': 'small condom', 'modifier': 'small'}",small condom,small,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,"{'combination': 'cheap condom', 'modifier': 'cheap'}",cheap condom,cheap,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.4444444444444445,"{'combination': 'loose condom', 'modifier': 'loose'}",loose condom,loose,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667
Makes your face as clear as a doctored photo!,a doctored photo,photo,doctor,fake,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(1, 2, 3)","(1, 3, 4)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.0,False,0.3333333333333333,"['{""combination"": ""retouched photo"", ""modifier"": ""retouched""}']","['{""combination"": ""altered photo"", ""modifier"": ""altered""}']","['{""combination"": ""altered photo"", ""modifier"": ""altered""}']","{'combination': 'retouched photo', 'modifier': 'retouched'}",retouched photo,retouch,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.0,"{'combination': 'altered photo', 'modifier': 'altered'}",altered photo,alter,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.5555555555555556,"{'combination': 'altered photo', 'modifier': 'altered'}",altered photo,alter,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.5555555555555556
"My word, they must be as stupid as pans without handles to call you a lunatic  A lunatic!",pans without handles,pan,handle,impractical,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 2, 2)","(4, 4, 4)",0.7777777777777777,0.8888888888888888,0.1111111111111111,0.1111111111111111,False,0.1111111111111111,"['{""combination"": ""over-sized pan"", ""modifier"": ""over-sized""}']","['{""combination"": ""heavy pan"", ""modifier"": ""heavy""}']","['{""combination"": ""decorative pan"", ""modifier"": ""decorative""}']","{'combination': 'over-sized pan', 'modifier': 'over-sized'}",over-sized pan,over,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,"{'combination': 'heavy pan', 'modifier': 'heavy'}",heavy pan,heavy,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.0,"{'combination': 'decorative pan', 'modifier': 'decorative'}",decorative pan,decorative,0.8888888888888888,0.6666666666666666,0.6666666666666666,0.2222222222222222
"The bars played freely like keys on a ring, and splayed out in their flight, and did the most dreadful execution.",keys on a ring,key,ring,attached,emergent,"(emergent, emergent, component)","(5, 4, 5)","(3, 1, 4)","(5, 1, 5)",0.6666666666666667,1.0,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""chain key"", ""modifier"": ""chain""}']","['{""combination"": ""fixed key"", ""modifier"": ""fixed""}']","['{""combination"": ""chain key"", ""modifier"": ""chain""}']","{'combination': 'chain key', 'modifier': 'chain'}",chain key,chain,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.11111111111111105,"{'combination': 'fixed key', 'modifier': 'fixed'}",fixed key,fix,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,"{'combination': 'chain key', 'modifier': 'chain'}",chain key,chain,0.8888888888888888,0.6666666666666666,0.6666666666666666,0.2222222222222222
Now these conclusions struck me abrupt like a bat in the eye when I sat down to rest in camp at Echo Spring.,a bat in the eye,bat,eye,sudden,emergent,"(emergent, emergent, emergent)","(4, 5, 5)","(1, 3, 3)","(1, 2, 2)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.0,False,0.3333333333333333,"['{""combination"": ""phantom bat"", ""modifier"": ""phantom""}']","['{""combination"": ""swooping bat"", ""modifier"": ""swooping""}']","['{""combination"": ""quick bat"", ""modifier"": ""quick""}']","{'combination': 'phantom bat', 'modifier': 'phantom'}",phantom bat,phantom,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,"{'combination': 'swooping bat', 'modifier': 'swooping'}",swooping bat,swoop,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,"{'combination': 'quick bat', 'modifier': 'quick'}",quick bat,quick,0.5555555555555556,0.7777777777777778,0.7777777777777778,0.0
The journey was successfully made and the coming of Boone was to his wife almost like the return of one from the dead.,the return of one from the dead,return,dead,miraculous,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 3, 3)","(4, 2, 4)",0.6666666666666667,1.0,0.3333333333333333,0.0,False,0.3333333333333333,"['{""combination"": ""unexpected return"", ""modifier"": ""unexpected""}']","['{""combination"": ""extraordinary return"", ""modifier"": ""extraordinary""}']","['{""combination"": ""unexpected return"", ""modifier"": ""unexpected""}']","{'combination': 'unexpected return', 'modifier': 'unexpected'}",unexpected return,unexpected,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,"{'combination': 'extraordinary return', 'modifier': 'extraordinary'}",extraordinary return,extraordinary,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.11111111111111116,"{'combination': 'unexpected return', 'modifier': 'unexpected'}",unexpected return,unexpected,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.1111111111111111
"In effect, the reason I came out is it was like kind of like a slap on the wrist.",a slap on the wrist,slap,wrist,lenient,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(1, 2, 1)","(1, 1, 1)",0.7777777777777777,0.8888888888888888,0.1111111111111111,0.0,False,0.1111111111111111,"['{""combination"": ""light slap"", ""modifier"": ""light""}']","['{""combination"": ""light slap"", ""modifier"": ""light""}']","['{""combination"": ""gentle slap"", ""modifier"": ""gentle""}']","{'combination': 'light slap', 'modifier': 'light'}",light slap,light,0.7777777777777778,0.0,0.1111111111111111,0.6666666666666667,"{'combination': 'light slap', 'modifier': 'light'}",light slap,light,0.7777777777777778,0.0,0.1111111111111111,0.6666666666666667,"{'combination': 'gentle slap', 'modifier': 'gentle'}",gentle slap,gentle,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0
Babies with teeth are almost as scary as birds with arms...,birds with arms,bird,arm,unexpected,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 2)","(1, 2, 3)",0.6666666666666667,1.0,0.3333333333333333,0.1111111111111111,False,0.3333333333333333,"['{""combination"": ""rare bird"", ""modifier"": ""rare""}']","['{""combination"": ""mechanical bird"", ""modifier"": ""mechanical""}']","['{""combination"": ""giant bird"", ""modifier"": ""giant""}']","{'combination': 'rare bird', 'modifier': 'rare'}",rare bird,rare,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.0,"{'combination': 'mechanical bird', 'modifier': 'mechanical'}",mechanical bird,mechanical,0.5555555555555556,0.2222222222222222,0.3333333333333333,0.22222222222222227,"{'combination': 'giant bird', 'modifier': 'giant'}",giant bird,giant,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.22222222222222227
"Now, I'm not saying that Manard wasn't as dead as a dried herring.",a dried herring,herring,dry,dead,emergent,"(emergent, emergent, component)","(4, 4, 5)","(1, 3, 2)","(1, 2, 2)",0.6666666666666667,1.0,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""fried herring"", ""modifier"": ""fried""}']","['{""combination"": ""smoked herring"", ""modifier"": ""smoked""}']","['{""combination"": ""salted herring"", ""modifier"": ""salted""}']","{'combination': 'fried herring', 'modifier': 'fried'}",fried herring,fry,1.0,0.0,0.3333333333333333,0.6666666666666667,"{'combination': 'smoked herring', 'modifier': 'smoked'}",smoked herring,smoke,1.0,0.2222222222222222,0.3333333333333333,0.6666666666666667,"{'combination': 'salted herring', 'modifier': 'salted'}",salted herring,salt,1.0,0.0,0.3333333333333333,0.6666666666666667
"The elderly are as oblivious as distracted drivers, but will be given favorable treatment getting warning instead of ticket by cops because they've paid their dues to society",distracted drivers,driver,distract,unsafe,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 4, 5)","(5, 4, 5)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""young driver"", ""modifier"": ""young""}']","['{""combination"": ""teen driver"", ""modifier"": ""teen""}']","['{""combination"": ""young driver"", ""modifier"": ""young""}']","{'combination': 'young driver', 'modifier': 'young'}",young driver,young,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.22222222222222227,"{'combination': 'teen driver', 'modifier': 'teen'}",teen driver,teen,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.22222222222222227,"{'combination': 'young driver', 'modifier': 'young'}",young driver,young,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.22222222222222227
"Now considering Earth exists I doubt life is as unlikely as a cube planet, but you get my point. ",a cube planet,planet,cube,improbable,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 1, 2)","(4, 1, 4)",1.0,1.0,0.0,0.0,False,0.0,"['{""combination"": ""hypothetical planet"", ""modifier"": ""hypothetical""}']","['{""combination"": ""exotic planet"", ""modifier"": ""exotic""}']","['{""combination"": ""rare planet"", ""modifier"": ""rare""}']","{'combination': 'hypothetical planet', 'modifier': 'hypothetical'}",hypothetical planet,hypothetical,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,"{'combination': 'exotic planet', 'modifier': 'exotic'}",exotic planet,exotic,0.7777777777777778,0.5555555555555556,0.5555555555555556,0.2222222222222222,"{'combination': 'rare planet', 'modifier': 'rare'}",rare planet,rare,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0
This is as subtle as a brick to the head is nonviolent.,a brick to the head,brick,head,forceful,emergent,"(emergent, component, emergent)","(5, 5, 4)","(4, 4, 1)","(2, 2, 1)",0.6666666666666667,1.0,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""heavy brick"", ""modifier"": ""heavy""}']","['{""combination"": ""heavy brick"", ""modifier"": ""heavy""}']","['{""combination"": ""heavy brick"", ""modifier"": ""heavy""}']","{'combination': 'heavy brick', 'modifier': 'heavy'}",heavy brick,heavy,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.0,"{'combination': 'heavy brick', 'modifier': 'heavy'}",heavy brick,heavy,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.22222222222222227,"{'combination': 'heavy brick', 'modifier': 'heavy'}",heavy brick,heavy,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
Joe and Elon walked deeper into the ship to find that all the doors slid open like supermarket doors as they approached.,supermarket doors,door,supermarket,automatic,emergent,"(component, emergent, emergent)","(4, 4, 4)","(3, 2, 2)","(2, 1, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""electric door"", ""modifier"": ""electric""}']","['{""combination"": ""revolving door"", ""modifier"": ""revolving""}']","['{""combination"": ""motorized door"", ""modifier"": ""motorized""}']","{'combination': 'electric door', 'modifier': 'electric'}",electric door,electric,0.7777777777777778,0.5555555555555556,0.5555555555555556,0.2222222222222222,"{'combination': 'revolving door', 'modifier': 'revolving'}",revolving door,revolve,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,"{'combination': 'motorized door', 'modifier': 'motorized'}",motorized door,motorize,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.5555555555555556
"It's almost like polite smiles rather than, you know, real, robust, coming from your innersoul kind of a smile.",polite smiles,smile,polite,superficial,emergent,"(emergent, emergent, emergent)","(5, 5, 4)","(2, 3, 2)","(4, 4, 4)",0.4444444444444445,0.7777777777777778,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""forced smile"", ""modifier"": ""forced""}']","['{""combination"": ""forced smile"", ""modifier"": ""forced""}']","['{""combination"": ""fake smile"", ""modifier"": ""fake""}']","{'combination': 'forced smile', 'modifier': 'forced'}",forced smile,force,0.8888888888888888,0.0,0.3333333333333333,0.5555555555555556,"{'combination': 'forced smile', 'modifier': 'forced'}",forced smile,force,0.8888888888888888,0.1111111111111111,0.3333333333333333,0.5555555555555556,"{'combination': 'fake smile', 'modifier': 'fake'}",fake smile,fake,1.0,0.8888888888888888,0.8888888888888888,0.11111111111111116
